id,dataset_version,split,domain,input_format,chart_type,chart_path,question_type,difficulty,unit,question,table_markdown,prompt
trdab_v01_000023,synthetic_v01,train,energy,chart_only,bar,charts/synthetic_v01/chart_005_bar.png,comparison,medium,MWh,"2021 yılındaki elektrik tüketimi, 2020 yılına göre kaç MWh farklıdır?",,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v01/chart_005_bar.png

Soru:
2021 yılındaki elektrik tüketimi, 2020 yılına göre kaç MWh farklıdır?

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v01_000024,synthetic_v01,train,energy,table_and_chart,bar,charts/synthetic_v01/chart_005_bar.png,percentage_change,medium,percent,"2022 ile 2024 arasında elektrik tüketimi yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","| Yıl | elektrik tüketimi |
|---|---|
| 2020 | 93903 |
| 2021 | 87020 |
| 2022 | 96569 |
| 2023 | 88132 |
| 2024 | 88505 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal yüzde değişim değerini yaz. Artış için pozitif, azalış için negatif değer ver. Yüzde işareti, birim, açıklama veya ekstra metin yazma. Örnek cevap formatı: 8.8 veya -8.8

Girdi türü: tablo ve grafik

Tablo:
| Yıl | elektrik tüketimi |
|---|---|
| 2020 | 93903 |
| 2021 | 87020 |
| 2022 | 96569 |
| 2023 | 88132 |
| 2024 | 88505 |

Grafik dosyası:
charts/synthetic_v01/chart_005_bar.png

Soru:
2022 ile 2024 arasında elektrik tüketimi yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver."
trdab_v01_000025,synthetic_v01,train,energy,table_only,bar,,trend_summary,medium,MWh,"Verilen veriye göre elektrik tüketimi için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","| Yıl | elektrik tüketimi |
|---|---|
| 2020 | 93903 |
| 2021 | 87020 |
| 2022 | 96569 |
| 2023 | 88132 |
| 2024 | 88505 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece eğilimi tek kelimeyle yaz: artış, azalış veya dalgalı. Açıklama, sayı veya ekstra metin yazma.

Girdi türü: sadece tablo

Tablo:
| Yıl | elektrik tüketimi |
|---|---|
| 2020 | 93903 |
| 2021 | 87020 |
| 2022 | 96569 |
| 2023 | 88132 |
| 2024 | 88505 |

Soru:
Verilen veriye göre elektrik tüketimi için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı."
trdab_v01_000026,synthetic_v01,train,health,chart_only,bar,charts/synthetic_v01/chart_006_bar.png,value_lookup,easy,başvuru,2023 yılında hastane başvuru sayısı kaçtır?,,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v01/chart_006_bar.png

Soru:
2023 yılında hastane başvuru sayısı kaçtır?

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v01_000027,synthetic_v01,train,health,table_and_chart,bar,charts/synthetic_v01/chart_006_bar.png,max_min,easy,başvuru,Verilen verideki en düşük hastane başvuru sayısı kaçtır?,"| Yıl | hastane başvuru sayısı |
|---|---|
| 2018 | 433866 |
| 2019 | 410851 |
| 2020 | 385674 |
| 2021 | 367673 |
| 2022 | 345621 |
| 2023 | 327374 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: tablo ve grafik

Tablo:
| Yıl | hastane başvuru sayısı |
|---|---|
| 2018 | 433866 |
| 2019 | 410851 |
| 2020 | 385674 |
| 2021 | 367673 |
| 2022 | 345621 |
| 2023 | 327374 |

Grafik dosyası:
charts/synthetic_v01/chart_006_bar.png

Soru:
Verilen verideki en düşük hastane başvuru sayısı kaçtır?"
trdab_v01_000028,synthetic_v01,train,health,table_only,bar,,comparison,medium,başvuru,"2021 yılındaki hastane başvuru sayısı, 2022 yılına göre kaç başvuru farklıdır?","| Yıl | hastane başvuru sayısı |
|---|---|
| 2018 | 433866 |
| 2019 | 410851 |
| 2020 | 385674 |
| 2021 | 367673 |
| 2022 | 345621 |
| 2023 | 327374 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece tablo

Tablo:
| Yıl | hastane başvuru sayısı |
|---|---|
| 2018 | 433866 |
| 2019 | 410851 |
| 2020 | 385674 |
| 2021 | 367673 |
| 2022 | 345621 |
| 2023 | 327374 |

Soru:
2021 yılındaki hastane başvuru sayısı, 2022 yılına göre kaç başvuru farklıdır?"
trdab_v01_000029,synthetic_v01,train,health,chart_only,bar,charts/synthetic_v01/chart_006_bar.png,percentage_change,medium,percent,"2019 ile 2020 arasında hastane başvuru sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.",,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal yüzde değişim değerini yaz. Artış için pozitif, azalış için negatif değer ver. Yüzde işareti, birim, açıklama veya ekstra metin yazma. Örnek cevap formatı: 8.8 veya -8.8

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v01/chart_006_bar.png

Soru:
2019 ile 2020 arasında hastane başvuru sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v01_000030,synthetic_v01,train,health,table_and_chart,bar,charts/synthetic_v01/chart_006_bar.png,trend_summary,medium,başvuru,"Verilen veriye göre hastane başvuru sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","| Yıl | hastane başvuru sayısı |
|---|---|
| 2018 | 433866 |
| 2019 | 410851 |
| 2020 | 385674 |
| 2021 | 367673 |
| 2022 | 345621 |
| 2023 | 327374 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece eğilimi tek kelimeyle yaz: artış, azalış veya dalgalı. Açıklama, sayı veya ekstra metin yazma.

Girdi türü: tablo ve grafik

Tablo:
| Yıl | hastane başvuru sayısı |
|---|---|
| 2018 | 433866 |
| 2019 | 410851 |
| 2020 | 385674 |
| 2021 | 367673 |
| 2022 | 345621 |
| 2023 | 327374 |

Grafik dosyası:
charts/synthetic_v01/chart_006_bar.png

Soru:
Verilen veriye göre hastane başvuru sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı."
trdab_v01_000031,synthetic_v01,train,environment,table_only,bar,,value_lookup,easy,ton,2022 yılında geri dönüştürülen atık miktarı kaçtır?,"| Yıl | geri dönüştürülen atık miktarı |
|---|---|
| 2018 | 8186 |
| 2019 | 8424 |
| 2020 | 9056 |
| 2021 | 9678 |
| 2022 | 10521 |
| 2023 | 10881 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece tablo

Tablo:
| Yıl | geri dönüştürülen atık miktarı |
|---|---|
| 2018 | 8186 |
| 2019 | 8424 |
| 2020 | 9056 |
| 2021 | 9678 |
| 2022 | 10521 |
| 2023 | 10881 |

Soru:
2022 yılında geri dönüştürülen atık miktarı kaçtır?"
trdab_v01_000032,synthetic_v01,train,environment,chart_only,bar,charts/synthetic_v01/chart_007_bar.png,max_min,easy,ton,Verilen verideki en yüksek geri dönüştürülen atık miktarı kaçtır?,,"Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: sadece grafik

Grafik dosyası:
charts/synthetic_v01/chart_007_bar.png

Soru:
Verilen verideki en yüksek geri dönüştürülen atık miktarı kaçtır?

Not: Bu örnekte tablo verilmemiştir. Cevabı grafik görselinden çıkar."
trdab_v01_000033,synthetic_v01,train,environment,table_and_chart,bar,charts/synthetic_v01/chart_007_bar.png,comparison,medium,ton,"2023 yılındaki geri dönüştürülen atık miktarı, 2021 yılına göre kaç ton farklıdır?","| Yıl | geri dönüştürülen atık miktarı |
|---|---|
| 2018 | 8186 |
| 2019 | 8424 |
| 2020 | 9056 |
| 2021 | 9678 |
| 2022 | 10521 |
| 2023 | 10881 |","Aşağıdaki Türkçe veri analizi sorusunu cevapla.
Cevap olarak sadece sayısal değeri yaz. Birim, yıl, açıklama veya ekstra metin yazma. Örnek cevap formatı: 12345

Girdi türü: tablo ve grafik

Tablo:
| Yıl | geri dönüştürülen atık miktarı |
|---|---|
| 2018 | 8186 |
| 2019 | 8424 |
| 2020 | 9056 |
| 2021 | 9678 |
| 2022 | 10521 |
| 2023 | 10881 |

Grafik dosyası:
charts/synthetic_v01/chart_007_bar.png

Soru:
2023 yılındaki geri dönüştürülen atık miktarı, 2021 yılına göre kaç ton farklıdır?"
