id,domain,input_format,chart_type,question_type,difficulty,answer_type,question,answer,numeric_answer,unit,split,chart_path
trdab_v02_000011,economy,chart_only,bar,percentage_change,medium,numeric,"2019 ile 2022 arasında ihracat değeri yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2019 ile 2022 arasında ihracat değeri yaklaşık %26,1 azalmıştır.",-26.1,percent,train,charts/synthetic_v02/chart_002_bar.png
trdab_v02_000012,economy,table_and_chart,bar,cross_series_diff,medium,numeric,2023 yılında ihracat değeri ile ithalat değeri arasındaki fark kaçtır?,2023 yılında ihracat değeri ile ithalat değeri arasındaki fark 54 milyon dolar olarak hesaplanır (ithalat değeri daha yüksektir).,54.0,milyon dolar,train,charts/synthetic_v02/chart_002_bar.png
trdab_v02_000013,economy,table_only,bar,average,hard,numeric,Tüm yıllar boyunca ithalat değeri ortalaması yaklaşık kaçtır?,"Tüm yıllar boyunca ithalat değeri ortalaması yaklaşık 213,4 milyon dolar olarak hesaplanır.",213.4,milyon dolar,train,charts/synthetic_v02/chart_002_bar.png
trdab_v02_000014,economy,chart_only,bar,nth_highest,hard,numeric_with_label,ithalat değeri açısından en yüksek 3. değer kaçtır?,ithalat değeri açısından en yüksek 3. değer 211 milyon dolar olup 2021 yılında görülmüştür.,211.0,milyon dolar,train,charts/synthetic_v02/chart_002_bar.png
trdab_v02_000015,economy,table_and_chart,bar,trend_summary,medium,text,"Verilen veriye göre ithalat değeri için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",ithalat değeri dalgalı bir eğilim göstermektedir; yıllar arasında hem artış hem azalış görülmektedir.,,milyon dolar,train,charts/synthetic_v02/chart_002_bar.png
trdab_v02_000016,economy,table_only,bar,unanswerable,hard,abstention,2019 yılında enflasyon oranı kaçtır?,Bu soru verilen veriden cevaplanamaz çünkü enflasyon oranı verilen tabloda/grafikte bulunmamaktadır.,,milyon dolar,train,charts/synthetic_v02/chart_002_bar.png
trdab_v02_000017,education,chart_only,bar,value_lookup,easy,numeric,2022 yılında öğretmen sayısı kaçtır?,2022 yılında öğretmen sayısı 1.824 öğretmen olarak verilmiştir.,1824.0,öğretmen,train,charts/synthetic_v02/chart_003_bar.png
trdab_v02_000018,education,table_and_chart,bar,comparison,medium,numeric,"2020 yılındaki öğrenci sayısı, 2022 yılına göre kaç öğrenci farklıdır?","2020 yılındaki öğrenci sayısı, 2022 yılına göre 2.429 öğrenci fazladır.",2429.0,öğrenci,train,charts/synthetic_v02/chart_003_bar.png
trdab_v02_000019,education,table_only,bar,percentage_change,medium,numeric,"2022 ile 2024 arasında öğrenci sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2022 ile 2024 arasında öğrenci sayısı yaklaşık %8,4 azalmıştır.",-8.4,percent,train,charts/synthetic_v02/chart_003_bar.png
trdab_v02_000020,education,chart_only,bar,cross_series_diff,medium,numeric,2021 yılında öğrenci sayısı ile öğretmen sayısı arasındaki fark kaçtır?,2021 yılında öğrenci sayısı ile öğretmen sayısı arasındaki fark 27.708 öğrenci olarak hesaplanır (öğrenci sayısı daha yüksektir).,27708.0,öğrenci,train,charts/synthetic_v02/chart_003_bar.png
trdab_v02_000021,education,table_and_chart,bar,average,hard,numeric,Tüm yıllar boyunca öğretmen sayısı ortalaması yaklaşık kaçtır?,"Tüm yıllar boyunca öğretmen sayısı ortalaması yaklaşık 1.836,8 öğretmen olarak hesaplanır.",1836.8,öğretmen,train,charts/synthetic_v02/chart_003_bar.png
trdab_v02_000022,education,table_only,bar,nth_highest,hard,numeric_with_label,öğretmen sayısı açısından en yüksek 2. değer kaçtır?,öğretmen sayısı açısından en yüksek 2. değer 1.920 öğretmen olup 2023 yılında görülmüştür.,1920.0,öğretmen,train,charts/synthetic_v02/chart_003_bar.png
trdab_v02_000023,education,chart_only,bar,trend_summary,medium,text,"Verilen veriye göre öğrenci sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","öğrenci sayısı genel olarak azalış eğilimi göstermektedir. 2020 yılında 30.665 öğrenci olan değer, 2024 yılında 25.860 öğrenci olmuştur.",,öğrenci,train,charts/synthetic_v02/chart_003_bar.png
trdab_v02_000024,education,table_and_chart,bar,unanswerable,hard,abstention,2027 yılında öğretmen sayısı kaçtır?,Bu soru verilen veriden cevaplanamaz çünkü 2027 yılı verilen veride bulunmamaktadır.,,öğretmen,train,charts/synthetic_v02/chart_003_bar.png
trdab_v02_000025,tourism,table_only,bar,value_lookup,easy,numeric,2019 yılında ziyaretçi sayısı kaçtır?,2019 yılında ziyaretçi sayısı 614.875 kişi olarak verilmiştir.,614875.0,kişi,train,charts/synthetic_v02/chart_004_bar.png
trdab_v02_000026,tourism,chart_only,bar,comparison,medium,numeric,"2022 yılındaki konaklama sayısı, 2020 yılına göre kaç gece farklıdır?","2022 yılındaki konaklama sayısı, 2020 yılına göre 167.914 gece fazladır.",167914.0,gece,train,charts/synthetic_v02/chart_004_bar.png
trdab_v02_000027,tourism,table_and_chart,bar,percentage_change,medium,numeric,"2020 ile 2021 arasında ziyaretçi sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2020 ile 2021 arasında ziyaretçi sayısı yaklaşık %10,9 artmıştır.",10.9,percent,train,charts/synthetic_v02/chart_004_bar.png
trdab_v02_000028,tourism,table_only,bar,cross_series_diff,medium,numeric,2023 yılında ziyaretçi sayısı ile konaklama sayısı arasındaki fark kaçtır?,2023 yılında ziyaretçi sayısı ile konaklama sayısı arasındaki fark 943.275 kişi olarak hesaplanır (konaklama sayısı daha yüksektir).,943275.0,kişi,train,charts/synthetic_v02/chart_004_bar.png
trdab_v02_000029,tourism,chart_only,bar,average,hard,numeric,Tüm yıllar boyunca konaklama sayısı ortalaması yaklaşık kaçtır?,"Tüm yıllar boyunca konaklama sayısı ortalaması yaklaşık 1.582.253,2 gece olarak hesaplanır.",1582253.2,gece,train,charts/synthetic_v02/chart_004_bar.png
trdab_v02_000030,tourism,table_and_chart,bar,nth_highest,hard,numeric_with_label,ziyaretçi sayısı açısından en yüksek 2. değer kaçtır?,ziyaretçi sayısı açısından en yüksek 2. değer 766.696 kişi olup 2022 yılında görülmüştür.,766696.0,kişi,train,charts/synthetic_v02/chart_004_bar.png
trdab_v02_000031,tourism,table_only,bar,trend_summary,medium,text,"Verilen veriye göre konaklama sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","konaklama sayısı genel olarak artış eğilimi göstermektedir. 2019 yılında 1.408.337 gece olan değer, 2023 yılında 1.775.143 gece olmuştur.",,gece,train,charts/synthetic_v02/chart_004_bar.png
trdab_v02_000032,tourism,chart_only,bar,unanswerable,hard,abstention,2023 yılında ortalama harcama kaçtır?,Bu soru verilen veriden cevaplanamaz çünkü ortalama harcama verilen tabloda/grafikte bulunmamaktadır.,,kişi,train,charts/synthetic_v02/chart_004_bar.png
trdab_v02_000033,energy,table_and_chart,bar,value_lookup,easy,numeric,2022 yılında doğal gaz tüketimi kaçtır?,2022 yılında doğal gaz tüketimi 346.740 m3 olarak verilmiştir.,346740.0,m3,train,charts/synthetic_v02/chart_005_bar.png
trdab_v02_000034,energy,table_only,bar,comparison,medium,numeric,"2020 yılındaki doğal gaz tüketimi, 2021 yılına göre kaç m3 farklıdır?","2020 yılındaki doğal gaz tüketimi, 2021 yılına göre 5.736 m3 fazladır.",5736.0,m3,train,charts/synthetic_v02/chart_005_bar.png
trdab_v02_000035,energy,chart_only,bar,percentage_change,medium,numeric,"2018 ile 2022 arasında elektrik tüketimi yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2018 ile 2022 arasında elektrik tüketimi yaklaşık %5,3 azalmıştır.",-5.3,percent,train,charts/synthetic_v02/chart_005_bar.png
trdab_v02_000036,energy,table_and_chart,bar,cross_series_diff,medium,numeric,2020 yılında elektrik tüketimi ile doğal gaz tüketimi arasındaki fark kaçtır?,2020 yılında elektrik tüketimi ile doğal gaz tüketimi arasındaki fark 274.797 MWh olarak hesaplanır (doğal gaz tüketimi daha yüksektir).,274797.0,MWh,train,charts/synthetic_v02/chart_005_bar.png
trdab_v02_000037,energy,table_only,bar,average,hard,numeric,Tüm yıllar boyunca doğal gaz tüketimi ortalaması yaklaşık kaçtır?,"Tüm yıllar boyunca doğal gaz tüketimi ortalaması yaklaşık 363.102,5 m3 olarak hesaplanır.",363102.5,m3,train,charts/synthetic_v02/chart_005_bar.png
trdab_v02_000038,energy,chart_only,bar,nth_highest,hard,numeric_with_label,doğal gaz tüketimi açısından en yüksek 3. değer kaçtır?,doğal gaz tüketimi açısından en yüksek 3. değer 365.696 m3 olup 2020 yılında görülmüştür.,365696.0,m3,train,charts/synthetic_v02/chart_005_bar.png
trdab_v02_000039,energy,table_and_chart,bar,trend_summary,medium,text,"Verilen veriye göre doğal gaz tüketimi için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","doğal gaz tüketimi genel olarak azalış eğilimi göstermektedir. 2018 yılında 394.035 m3 olan değer, 2023 yılında 333.527 m3 olmuştur.",,m3,train,charts/synthetic_v02/chart_005_bar.png
trdab_v02_000040,energy,table_only,bar,unanswerable,hard,abstention,2020 yılında yenilenebilir üretim kaçtır?,Bu soru verilen veriden cevaplanamaz çünkü yenilenebilir üretim verilen tabloda/grafikte bulunmamaktadır.,,MWh,train,charts/synthetic_v02/chart_005_bar.png
trdab_v02_000041,health,chart_only,bar,value_lookup,easy,numeric,2019 yılında hastane başvuru sayısı kaçtır?,2019 yılında hastane başvuru sayısı 280.163 başvuru olarak verilmiştir.,280163.0,başvuru,train,charts/synthetic_v02/chart_006_bar.png
trdab_v02_000042,health,table_and_chart,bar,comparison,medium,numeric,"2021 yılındaki ameliyat sayısı, 2023 yılına göre kaç ameliyat farklıdır?","2021 yılındaki ameliyat sayısı, 2023 yılına göre 2.510 ameliyat fazladır.",2510.0,ameliyat,train,charts/synthetic_v02/chart_006_bar.png
trdab_v02_000043,health,table_only,bar,percentage_change,medium,numeric,"2021 ile 2023 arasında hastane başvuru sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2021 ile 2023 arasında hastane başvuru sayısı yaklaşık %8,9 azalmıştır.",-8.9,percent,train,charts/synthetic_v02/chart_006_bar.png
trdab_v02_000044,health,chart_only,bar,cross_series_diff,medium,numeric,2023 yılında hastane başvuru sayısı ile ameliyat sayısı arasındaki fark kaçtır?,2023 yılında hastane başvuru sayısı ile ameliyat sayısı arasındaki fark 247.052 başvuru olarak hesaplanır (hastane başvuru sayısı daha yüksektir).,247052.0,başvuru,train,charts/synthetic_v02/chart_006_bar.png
trdab_v02_000045,health,table_and_chart,bar,average,hard,numeric,Tüm yıllar boyunca hastane başvuru sayısı ortalaması yaklaşık kaçtır?,"Tüm yıllar boyunca hastane başvuru sayısı ortalaması yaklaşık 309.470,7 başvuru olarak hesaplanır.",309470.7,başvuru,train,charts/synthetic_v02/chart_006_bar.png
trdab_v02_000046,health,table_only,bar,nth_highest,hard,numeric_with_label,hastane başvuru sayısı açısından en yüksek 3. değer kaçtır?,hastane başvuru sayısı açısından en yüksek 3. değer 326.338 başvuru olup 2020 yılında görülmüştür.,326338.0,başvuru,train,charts/synthetic_v02/chart_006_bar.png
trdab_v02_000047,health,chart_only,bar,trend_summary,medium,text,"Verilen veriye göre ameliyat sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","ameliyat sayısı genel olarak azalış eğilimi göstermektedir. 2018 yılında 32.010 ameliyat olan değer, 2023 yılında 25.245 ameliyat olmuştur.",,ameliyat,train,charts/synthetic_v02/chart_006_bar.png
trdab_v02_000048,health,table_and_chart,bar,unanswerable,hard,abstention,2033 yılında hastane başvuru sayısı kaçtır?,Bu soru verilen veriden cevaplanamaz çünkü 2033 yılı verilen veride bulunmamaktadır.,,başvuru,train,charts/synthetic_v02/chart_006_bar.png
trdab_v02_000049,environment,table_only,line,value_lookup,easy,numeric,2023 yılında toplam atık miktarı kaçtır?,2023 yılında toplam atık miktarı 44.315 ton olarak verilmiştir.,44315.0,ton,train,charts/synthetic_v02/chart_007_line.png
trdab_v02_000050,environment,chart_only,line,comparison,medium,numeric,"2022 yılındaki toplam atık miktarı, 2021 yılına göre kaç ton farklıdır?","2022 yılındaki toplam atık miktarı, 2021 yılına göre 2.371 ton azdır.",2371.0,ton,train,charts/synthetic_v02/chart_007_line.png
trdab_v02_000051,environment,table_and_chart,line,percentage_change,medium,numeric,"2019 ile 2023 arasında toplam atık miktarı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2019 ile 2023 arasında toplam atık miktarı yaklaşık %16,3 azalmıştır.",-16.3,percent,train,charts/synthetic_v02/chart_007_line.png
trdab_v02_000052,environment,table_only,line,cross_series_diff,medium,numeric,2023 yılında geri dönüştürülen atık miktarı ile toplam atık miktarı arasındaki fark kaçtır?,2023 yılında geri dönüştürülen atık miktarı ile toplam atık miktarı arasındaki fark 35.212 ton olarak hesaplanır (toplam atık miktarı daha yüksektir).,35212.0,ton,train,charts/synthetic_v02/chart_007_line.png
trdab_v02_000053,environment,chart_only,line,average,hard,numeric,Tüm yıllar boyunca geri dönüştürülen atık miktarı ortalaması yaklaşık kaçtır?,"Tüm yıllar boyunca geri dönüştürülen atık miktarı ortalaması yaklaşık 10.041,7 ton olarak hesaplanır.",10041.7,ton,train,charts/synthetic_v02/chart_007_line.png
trdab_v02_000054,environment,table_and_chart,line,nth_highest,hard,numeric_with_label,geri dönüştürülen atık miktarı açısından en yüksek 3. değer kaçtır?,geri dönüştürülen atık miktarı açısından en yüksek 3. değer 10.405 ton olup 2021 yılında görülmüştür.,10405.0,ton,train,charts/synthetic_v02/chart_007_line.png
trdab_v02_000055,environment,table_only,line,trend_summary,medium,text,"Verilen veriye göre toplam atık miktarı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","toplam atık miktarı genel olarak azalış eğilimi göstermektedir. 2019 yılında 52.919 ton olan değer, 2024 yılında 43.360 ton olmuştur.",,ton,train,charts/synthetic_v02/chart_007_line.png
trdab_v02_000056,environment,chart_only,line,unanswerable,hard,abstention,2031 yılında geri dönüştürülen atık miktarı kaçtır?,Bu soru verilen veriden cevaplanamaz çünkü 2031 yılı verilen veride bulunmamaktadır.,,ton,train,charts/synthetic_v02/chart_007_line.png
trdab_v02_000057,sports,table_and_chart,line,value_lookup,easy,numeric,2021 yılında lisanslı sporcu sayısı kaçtır?,2021 yılında lisanslı sporcu sayısı 13.031 sporcu olarak verilmiştir.,13031.0,sporcu,train,charts/synthetic_v02/chart_008_line.png
trdab_v02_000058,sports,table_only,line,comparison,medium,numeric,"2019 yılındaki spor tesisi kullanım sayısı, 2017 yılına göre kaç kullanım farklıdır?","2019 yılındaki spor tesisi kullanım sayısı, 2017 yılına göre 5.276 kullanım fazladır.",5276.0,kullanım,train,charts/synthetic_v02/chart_008_line.png
trdab_v02_000059,sports,chart_only,line,percentage_change,medium,numeric,"2018 ile 2020 arasında spor tesisi kullanım sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2018 ile 2020 arasında spor tesisi kullanım sayısı yaklaşık %14,2 artmıştır.",14.2,percent,train,charts/synthetic_v02/chart_008_line.png
trdab_v02_000060,sports,table_and_chart,line,cross_series_diff,medium,numeric,2020 yılında spor tesisi kullanım sayısı ile lisanslı sporcu sayısı arasındaki fark kaçtır?,2020 yılında spor tesisi kullanım sayısı ile lisanslı sporcu sayısı arasındaki fark 40.455 kullanım olarak hesaplanır (spor tesisi kullanım sayısı daha yüksektir).,40455.0,kullanım,train,charts/synthetic_v02/chart_008_line.png
trdab_v02_000061,sports,table_only,line,average,hard,numeric,Tüm yıllar boyunca spor tesisi kullanım sayısı ortalaması yaklaşık kaçtır?,"Tüm yıllar boyunca spor tesisi kullanım sayısı ortalaması yaklaşık 50.821,2 kullanım olarak hesaplanır.",50821.2,kullanım,train,charts/synthetic_v02/chart_008_line.png
trdab_v02_000062,sports,chart_only,line,nth_highest,hard,numeric_with_label,spor tesisi kullanım sayısı açısından en yüksek 2. değer kaçtır?,spor tesisi kullanım sayısı açısından en yüksek 2. değer 54.056 kullanım olup 2020 yılında görülmüştür.,54056.0,kullanım,train,charts/synthetic_v02/chart_008_line.png
trdab_v02_000063,sports,table_and_chart,line,trend_summary,medium,text,"Verilen veriye göre spor tesisi kullanım sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","spor tesisi kullanım sayısı genel olarak artış eğilimi göstermektedir. 2017 yılında 45.365 kullanım olan değer, 2021 yılında 56.727 kullanım olmuştur.",,kullanım,train,charts/synthetic_v02/chart_008_line.png
trdab_v02_000064,sports,table_only,line,unanswerable,hard,abstention,2019 yılında müsabaka sayısı kaçtır?,Bu soru verilen veriden cevaplanamaz çünkü müsabaka sayısı verilen tabloda/grafikte bulunmamaktadır.,,kullanım,train,charts/synthetic_v02/chart_008_line.png
trdab_v02_000065,municipality,chart_only,line,value_lookup,easy,numeric,2023 yılında belediye hizmet başvurusu kaçtır?,2023 yılında belediye hizmet başvurusu 91.182 başvuru olarak verilmiştir.,91182.0,başvuru,train,charts/synthetic_v02/chart_009_line.png
trdab_v02_000066,municipality,table_and_chart,line,comparison,medium,numeric,"2020 yılındaki çözülen başvuru sayısı, 2022 yılına göre kaç başvuru farklıdır?","2020 yılındaki çözülen başvuru sayısı, 2022 yılına göre 2.328 başvuru fazladır.",2328.0,başvuru,train,charts/synthetic_v02/chart_009_line.png
trdab_v02_000067,municipality,table_only,line,percentage_change,medium,numeric,"2018 ile 2019 arasında çözülen başvuru sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2018 ile 2019 arasında çözülen başvuru sayısı yaklaşık %8,8 azalmıştır.",-8.8,percent,train,charts/synthetic_v02/chart_009_line.png
trdab_v02_000068,municipality,chart_only,line,cross_series_diff,medium,numeric,2023 yılında belediye hizmet başvurusu ile çözülen başvuru sayısı arasındaki fark kaçtır?,2023 yılında belediye hizmet başvurusu ile çözülen başvuru sayısı arasındaki fark 27.748 başvuru olarak hesaplanır (belediye hizmet başvurusu daha yüksektir).,27748.0,başvuru,train,charts/synthetic_v02/chart_009_line.png
trdab_v02_000069,municipality,table_and_chart,line,average,hard,numeric,Tüm yıllar boyunca belediye hizmet başvurusu ortalaması yaklaşık kaçtır?,"Tüm yıllar boyunca belediye hizmet başvurusu ortalaması yaklaşık 81.072,7 başvuru olarak hesaplanır.",81072.7,başvuru,train,charts/synthetic_v02/chart_009_line.png
trdab_v02_000070,municipality,table_only,line,nth_highest,hard,numeric_with_label,belediye hizmet başvurusu açısından en yüksek 2. değer kaçtır?,belediye hizmet başvurusu açısından en yüksek 2. değer 88.172 başvuru olup 2022 yılında görülmüştür.,88172.0,başvuru,train,charts/synthetic_v02/chart_009_line.png
trdab_v02_000071,municipality,chart_only,line,trend_summary,medium,text,"Verilen veriye göre belediye hizmet başvurusu için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","belediye hizmet başvurusu genel olarak artış eğilimi göstermektedir. 2018 yılında 70.022 başvuru olan değer, 2023 yılında 91.182 başvuru olmuştur.",,başvuru,train,charts/synthetic_v02/chart_009_line.png
trdab_v02_000072,municipality,table_and_chart,line,unanswerable,hard,abstention,2023 yılında personel sayısı kaçtır?,Bu soru verilen veriden cevaplanamaz çünkü personel sayısı verilen tabloda/grafikte bulunmamaktadır.,,başvuru,train,charts/synthetic_v02/chart_009_line.png
trdab_v02_000073,agriculture,table_only,line,value_lookup,easy,numeric,2018 yılında üretim miktarı kaçtır?,2018 yılında üretim miktarı 189.445 ton olarak verilmiştir.,189445.0,ton,train,charts/synthetic_v02/chart_010_line.png
trdab_v02_000074,agriculture,chart_only,line,comparison,medium,numeric,"2018 yılındaki ekili alan, 2021 yılına göre kaç hektar farklıdır?","2018 yılındaki ekili alan, 2021 yılına göre 5.089 hektar azdır.",5089.0,hektar,train,charts/synthetic_v02/chart_010_line.png
trdab_v02_000075,agriculture,table_and_chart,line,percentage_change,medium,numeric,"2019 ile 2022 arasında ekili alan yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2019 ile 2022 arasında ekili alan yaklaşık %9,3 artmıştır.",9.3,percent,train,charts/synthetic_v02/chart_010_line.png
trdab_v02_000076,agriculture,table_only,line,cross_series_diff,medium,numeric,2019 yılında üretim miktarı ile ekili alan arasındaki fark kaçtır?,2019 yılında üretim miktarı ile ekili alan arasındaki fark 139.542 ton olarak hesaplanır (üretim miktarı daha yüksektir).,139542.0,ton,train,charts/synthetic_v02/chart_010_line.png
trdab_v02_000077,agriculture,chart_only,line,average,hard,numeric,Tüm yıllar boyunca üretim miktarı ortalaması yaklaşık kaçtır?,Tüm yıllar boyunca üretim miktarı ortalaması yaklaşık 178.018 ton olarak hesaplanır.,178018.0,ton,train,charts/synthetic_v02/chart_010_line.png
trdab_v02_000078,agriculture,table_and_chart,line,nth_highest,hard,numeric_with_label,ekili alan açısından en yüksek 2. değer kaçtır?,ekili alan açısından en yüksek 2. değer 44.097 hektar olup 2021 yılında görülmüştür.,44097.0,hektar,train,charts/synthetic_v02/chart_010_line.png
trdab_v02_000079,agriculture,table_only,line,trend_summary,medium,text,"Verilen veriye göre üretim miktarı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","üretim miktarı genel olarak azalış eğilimi göstermektedir. 2017 yılında 199.096 ton olan değer, 2022 yılında 158.213 ton olmuştur.",,ton,train,charts/synthetic_v02/chart_010_line.png
trdab_v02_000080,agriculture,chart_only,line,unanswerable,hard,abstention,2026 yılında ekili alan kaçtır?,Bu soru verilen veriden cevaplanamaz çünkü 2026 yılı verilen veride bulunmamaktadır.,,hektar,train,charts/synthetic_v02/chart_010_line.png
trdab_v02_000081,transportation,table_and_chart,bar,value_lookup,easy,numeric,2024 yılında sefer sayısı kaçtır?,2024 yılında sefer sayısı 42.347 sefer olarak verilmiştir.,42347.0,sefer,train,charts/synthetic_v02/chart_011_bar.png
trdab_v02_000082,transportation,table_only,bar,comparison,medium,numeric,"2023 yılındaki yolcu sayısı, 2024 yılına göre kaç kişi farklıdır?","2023 yılındaki yolcu sayısı, 2024 yılına göre 286.291 kişi azdır.",286291.0,kişi,train,charts/synthetic_v02/chart_011_bar.png
trdab_v02_000083,transportation,chart_only,bar,percentage_change,medium,numeric,"2022 ile 2023 arasında sefer sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2022 ile 2023 arasında sefer sayısı yaklaşık %6,9 azalmıştır.",-6.9,percent,train,charts/synthetic_v02/chart_011_bar.png
trdab_v02_000084,transportation,table_and_chart,bar,cross_series_diff,medium,numeric,2024 yılında yolcu sayısı ile sefer sayısı arasındaki fark kaçtır?,2024 yılında yolcu sayısı ile sefer sayısı arasındaki fark 1.347.798 kişi olarak hesaplanır (yolcu sayısı daha yüksektir).,1347798.0,kişi,train,charts/synthetic_v02/chart_011_bar.png
trdab_v02_000085,transportation,table_only,bar,average,hard,numeric,Tüm yıllar boyunca yolcu sayısı ortalaması yaklaşık kaçtır?,Tüm yıllar boyunca yolcu sayısı ortalaması yaklaşık 1.262.578 kişi olarak hesaplanır.,1262578.0,kişi,train,charts/synthetic_v02/chart_011_bar.png
trdab_v02_000086,transportation,chart_only,bar,nth_highest,hard,numeric_with_label,sefer sayısı açısından en yüksek 2. değer kaçtır?,sefer sayısı açısından en yüksek 2. değer 43.861 sefer olup 2022 yılında görülmüştür.,43861.0,sefer,train,charts/synthetic_v02/chart_011_bar.png
trdab_v02_000087,transportation,table_and_chart,bar,trend_summary,medium,text,"Verilen veriye göre yolcu sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",yolcu sayısı dalgalı bir eğilim göstermektedir; yıllar arasında hem artış hem azalış görülmektedir.,,kişi,train,charts/synthetic_v02/chart_011_bar.png
trdab_v02_000088,transportation,table_only,bar,unanswerable,hard,abstention,2035 yılında yolcu sayısı kaçtır?,Bu soru verilen veriden cevaplanamaz çünkü 2035 yılı verilen veride bulunmamaktadır.,,kişi,train,charts/synthetic_v02/chart_011_bar.png
trdab_v02_000089,economy,chart_only,line,value_lookup,easy,numeric,2023 yılında ithalat değeri kaçtır?,2023 yılında ithalat değeri 228 milyon dolar olarak verilmiştir.,228.0,milyon dolar,train,charts/synthetic_v02/chart_012_line.png
