id,dataset_version,domain,input_format,chart_type,question_type,difficulty,question,answer,numeric_answer,unit,split,chart_path
trdab_v01_000020,synthetic_v01,tourism,chart_only,bar,trend_summary,medium,"Verilen veriye göre ziyaretçi sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","Verilen veri genel olarak ziyaretçi sayısı için azalış eğilimi göstermektedir. 2018 yılında 931.896 kişi olan değer, 2022 yılında 664.884 kişi seviyesine düşmüştür.",,kişi,train,charts/synthetic_v01/chart_004_bar.png
trdab_v01_000021,synthetic_v01,energy,table_and_chart,bar,value_lookup,easy,2023 yılında elektrik tüketimi kaçtır?,2023 yılında elektrik tüketimi 88.132 MWh olarak verilmiştir.,88132.0,MWh,train,charts/synthetic_v01/chart_005_bar.png
trdab_v01_000022,synthetic_v01,energy,table_only,bar,max_min,easy,Verilen verideki en düşük elektrik tüketimi kaçtır?,En düşük elektrik tüketimi 87.020 MWh olarak verilmiştir. Bu değer 2021 yılında görülmüştür.,87020.0,MWh,train,charts/synthetic_v01/chart_005_bar.png
trdab_v01_000023,synthetic_v01,energy,chart_only,bar,comparison,medium,"2021 yılındaki elektrik tüketimi, 2020 yılına göre kaç MWh farklıdır?","2021 yılındaki elektrik tüketimi, 2020 yılına göre 6.883 MWh azdır.",6883.0,MWh,train,charts/synthetic_v01/chart_005_bar.png
trdab_v01_000024,synthetic_v01,energy,table_and_chart,bar,percentage_change,medium,"2022 ile 2024 arasında elektrik tüketimi yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2022 ile 2024 arasında elektrik tüketimi yaklaşık %8,4 azalmıştır.",-8.4,percent,train,charts/synthetic_v01/chart_005_bar.png
trdab_v01_000025,synthetic_v01,energy,table_only,bar,trend_summary,medium,"Verilen veriye göre elektrik tüketimi için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",Verilen veri elektrik tüketimi için dalgalı bir eğilim göstermektedir. Yıllar arasında hem artış hem de azalış görüldüğü için tek yönlü güçlü bir eğilim yoktur.,,MWh,train,charts/synthetic_v01/chart_005_bar.png
trdab_v01_000026,synthetic_v01,health,chart_only,bar,value_lookup,easy,2023 yılında hastane başvuru sayısı kaçtır?,2023 yılında hastane başvuru sayısı 327.374 başvuru olarak verilmiştir.,327374.0,başvuru,train,charts/synthetic_v01/chart_006_bar.png
trdab_v01_000027,synthetic_v01,health,table_and_chart,bar,max_min,easy,Verilen verideki en düşük hastane başvuru sayısı kaçtır?,En düşük hastane başvuru sayısı 327.374 başvuru olarak verilmiştir. Bu değer 2023 yılında görülmüştür.,327374.0,başvuru,train,charts/synthetic_v01/chart_006_bar.png
trdab_v01_000028,synthetic_v01,health,table_only,bar,comparison,medium,"2021 yılındaki hastane başvuru sayısı, 2022 yılına göre kaç başvuru farklıdır?","2021 yılındaki hastane başvuru sayısı, 2022 yılına göre 22.052 başvuru fazladır.",22052.0,başvuru,train,charts/synthetic_v01/chart_006_bar.png
trdab_v01_000029,synthetic_v01,health,chart_only,bar,percentage_change,medium,"2019 ile 2020 arasında hastane başvuru sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2019 ile 2020 arasında hastane başvuru sayısı yaklaşık %6,1 azalmıştır.",-6.1,percent,train,charts/synthetic_v01/chart_006_bar.png
trdab_v01_000030,synthetic_v01,health,table_and_chart,bar,trend_summary,medium,"Verilen veriye göre hastane başvuru sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","Verilen veri genel olarak hastane başvuru sayısı için azalış eğilimi göstermektedir. 2018 yılında 433.866 başvuru olan değer, 2023 yılında 327.374 başvuru seviyesine düşmüştür.",,başvuru,train,charts/synthetic_v01/chart_006_bar.png
trdab_v01_000031,synthetic_v01,environment,table_only,bar,value_lookup,easy,2022 yılında geri dönüştürülen atık miktarı kaçtır?,2022 yılında geri dönüştürülen atık miktarı 10.521 ton olarak verilmiştir.,10521.0,ton,train,charts/synthetic_v01/chart_007_bar.png
trdab_v01_000032,synthetic_v01,environment,chart_only,bar,max_min,easy,Verilen verideki en yüksek geri dönüştürülen atık miktarı kaçtır?,En yüksek geri dönüştürülen atık miktarı 10.881 ton olarak verilmiştir. Bu değer 2023 yılında görülmüştür.,10881.0,ton,train,charts/synthetic_v01/chart_007_bar.png
trdab_v01_000033,synthetic_v01,environment,table_and_chart,bar,comparison,medium,"2023 yılındaki geri dönüştürülen atık miktarı, 2021 yılına göre kaç ton farklıdır?","2023 yılındaki geri dönüştürülen atık miktarı, 2021 yılına göre 1.203 ton fazladır.",1203.0,ton,train,charts/synthetic_v01/chart_007_bar.png
trdab_v01_000034,synthetic_v01,environment,table_only,bar,percentage_change,medium,"2021 ile 2022 arasında geri dönüştürülen atık miktarı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2021 ile 2022 arasında geri dönüştürülen atık miktarı yaklaşık %8,7 artmıştır.",8.7,percent,train,charts/synthetic_v01/chart_007_bar.png
trdab_v01_000035,synthetic_v01,environment,chart_only,bar,trend_summary,medium,"Verilen veriye göre geri dönüştürülen atık miktarı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","Verilen veri genel olarak geri dönüştürülen atık miktarı için artış eğilimi göstermektedir. 2018 yılında 8.186 ton olan değer, 2023 yılında 10.881 ton seviyesine yükselmiştir.",,ton,train,charts/synthetic_v01/chart_007_bar.png
trdab_v01_000036,synthetic_v01,sports,table_and_chart,bar,value_lookup,easy,2024 yılında spor tesisi kullanım sayısı kaçtır?,2024 yılında spor tesisi kullanım sayısı 47.525 kullanım olarak verilmiştir.,47525.0,kullanım,train,charts/synthetic_v01/chart_008_bar.png
trdab_v01_000037,synthetic_v01,sports,table_only,bar,max_min,easy,Verilen verideki en yüksek spor tesisi kullanım sayısı kaçtır?,En yüksek spor tesisi kullanım sayısı 52.346 kullanım olarak verilmiştir. Bu değer 2022 yılında görülmüştür.,52346.0,kullanım,train,charts/synthetic_v01/chart_008_bar.png
trdab_v01_000038,synthetic_v01,sports,chart_only,bar,comparison,medium,"2020 yılındaki spor tesisi kullanım sayısı, 2024 yılına göre kaç kullanım farklıdır?","2020 yılındaki spor tesisi kullanım sayısı, 2024 yılına göre 2.028 kullanım fazladır.",2028.0,kullanım,train,charts/synthetic_v01/chart_008_bar.png
trdab_v01_000039,synthetic_v01,sports,table_and_chart,bar,percentage_change,medium,"2022 ile 2025 arasında spor tesisi kullanım sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2022 ile 2025 arasında spor tesisi kullanım sayısı yaklaşık %20,9 azalmıştır.",-20.9,percent,train,charts/synthetic_v01/chart_008_bar.png
trdab_v01_000040,synthetic_v01,sports,table_only,bar,trend_summary,medium,"Verilen veriye göre spor tesisi kullanım sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","Verilen veri genel olarak spor tesisi kullanım sayısı için azalış eğilimi göstermektedir. 2020 yılında 49.553 kullanım olan değer, 2025 yılında 41.397 kullanım seviyesine düşmüştür.",,kullanım,train,charts/synthetic_v01/chart_008_bar.png
trdab_v01_000041,synthetic_v01,municipality,chart_only,line,value_lookup,easy,2024 yılında belediye hizmet başvurusu kaçtır?,2024 yılında belediye hizmet başvurusu 90.789 başvuru olarak verilmiştir.,90789.0,başvuru,train,charts/synthetic_v01/chart_009_line.png
trdab_v01_000042,synthetic_v01,municipality,table_and_chart,line,max_min,easy,Verilen verideki en düşük belediye hizmet başvurusu kaçtır?,En düşük belediye hizmet başvurusu 69.931 başvuru olarak verilmiştir. Bu değer 2020 yılında görülmüştür.,69931.0,başvuru,train,charts/synthetic_v01/chart_009_line.png
trdab_v01_000043,synthetic_v01,municipality,table_only,line,comparison,medium,"2020 yılındaki belediye hizmet başvurusu, 2023 yılına göre kaç başvuru farklıdır?","2020 yılındaki belediye hizmet başvurusu, 2023 yılına göre 15.078 başvuru azdır.",15078.0,başvuru,train,charts/synthetic_v01/chart_009_line.png
trdab_v01_000044,synthetic_v01,municipality,chart_only,line,percentage_change,medium,"2020 ile 2022 arasında belediye hizmet başvurusu yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2020 ile 2022 arasında belediye hizmet başvurusu yaklaşık %12,5 artmıştır.",12.5,percent,train,charts/synthetic_v01/chart_009_line.png
trdab_v01_000045,synthetic_v01,municipality,table_and_chart,line,trend_summary,medium,"Verilen veriye göre belediye hizmet başvurusu için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","Verilen veri genel olarak belediye hizmet başvurusu için artış eğilimi göstermektedir. 2020 yılında 69.931 başvuru olan değer, 2024 yılında 90.789 başvuru seviyesine yükselmiştir.",,başvuru,train,charts/synthetic_v01/chart_009_line.png
trdab_v01_000046,synthetic_v01,agriculture,table_only,line,value_lookup,easy,2023 yılında üretim miktarı kaçtır?,2023 yılında üretim miktarı 185.148 ton olarak verilmiştir.,185148.0,ton,train,charts/synthetic_v01/chart_010_line.png
trdab_v01_000047,synthetic_v01,agriculture,chart_only,line,max_min,easy,Verilen verideki en yüksek üretim miktarı kaçtır?,En yüksek üretim miktarı 185.148 ton olarak verilmiştir. Bu değer 2023 yılında görülmüştür.,185148.0,ton,train,charts/synthetic_v01/chart_010_line.png
trdab_v01_000048,synthetic_v01,agriculture,table_and_chart,line,comparison,medium,"2022 yılındaki üretim miktarı, 2020 yılına göre kaç ton farklıdır?","2022 yılındaki üretim miktarı, 2020 yılına göre 13.054 ton fazladır.",13054.0,ton,train,charts/synthetic_v01/chart_010_line.png
trdab_v01_000049,synthetic_v01,agriculture,table_only,line,percentage_change,medium,"2020 ile 2023 arasında üretim miktarı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2020 ile 2023 arasında üretim miktarı yaklaşık %15,5 artmıştır.",15.5,percent,train,charts/synthetic_v01/chart_010_line.png
trdab_v01_000050,synthetic_v01,agriculture,chart_only,line,trend_summary,medium,"Verilen veriye göre üretim miktarı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","Verilen veri genel olarak üretim miktarı için artış eğilimi göstermektedir. 2019 yılında 149.140 ton olan değer, 2023 yılında 185.148 ton seviyesine yükselmiştir.",,ton,train,charts/synthetic_v01/chart_010_line.png
trdab_v01_000051,synthetic_v01,transportation,table_and_chart,bar,value_lookup,easy,2019 yılında yolcu sayısı kaçtır?,2019 yılında yolcu sayısı 1.234.020 kişi olarak verilmiştir.,1234020.0,kişi,train,charts/synthetic_v01/chart_011_bar.png
trdab_v01_000052,synthetic_v01,transportation,table_only,bar,max_min,easy,Verilen verideki en yüksek yolcu sayısı kaçtır?,En yüksek yolcu sayısı 1.770.756 kişi olarak verilmiştir. Bu değer 2024 yılında görülmüştür.,1770756.0,kişi,train,charts/synthetic_v01/chart_011_bar.png
trdab_v01_000053,synthetic_v01,transportation,chart_only,bar,comparison,medium,"2019 yılındaki yolcu sayısı, 2020 yılına göre kaç kişi farklıdır?","2019 yılındaki yolcu sayısı, 2020 yılına göre 65.679 kişi azdır.",65679.0,kişi,train,charts/synthetic_v01/chart_011_bar.png
trdab_v01_000054,synthetic_v01,transportation,table_and_chart,bar,percentage_change,medium,"2019 ile 2021 arasında yolcu sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2019 ile 2021 arasında yolcu sayısı yaklaşık %15,4 artmıştır.",15.4,percent,train,charts/synthetic_v01/chart_011_bar.png
trdab_v01_000055,synthetic_v01,transportation,table_only,bar,trend_summary,medium,"Verilen veriye göre yolcu sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","Verilen veri genel olarak yolcu sayısı için artış eğilimi göstermektedir. 2019 yılında 1.234.020 kişi olan değer, 2024 yılında 1.770.756 kişi seviyesine yükselmiştir.",,kişi,train,charts/synthetic_v01/chart_011_bar.png
trdab_v01_000056,synthetic_v01,economy,chart_only,line,value_lookup,easy,2024 yılında ihracat değeri kaçtır?,2024 yılında ihracat değeri 201 milyon dolar olarak verilmiştir.,201.0,milyon dolar,train,charts/synthetic_v01/chart_012_line.png
trdab_v01_000057,synthetic_v01,economy,table_and_chart,line,max_min,easy,Verilen verideki en düşük ihracat değeri kaçtır?,En düşük ihracat değeri 137 milyon dolar olarak verilmiştir. Bu değer 2023 yılında görülmüştür.,137.0,milyon dolar,train,charts/synthetic_v01/chart_012_line.png
trdab_v01_000058,synthetic_v01,economy,table_only,line,comparison,medium,"2023 yılındaki ihracat değeri, 2021 yılına göre kaç milyon dolar farklıdır?","2023 yılındaki ihracat değeri, 2021 yılına göre 43 milyon dolar azdır.",43.0,milyon dolar,train,charts/synthetic_v01/chart_012_line.png
trdab_v01_000059,synthetic_v01,economy,chart_only,line,percentage_change,medium,"2021 ile 2023 arasında ihracat değeri yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2021 ile 2023 arasında ihracat değeri yaklaşık %23,9 azalmıştır.",-23.9,percent,train,charts/synthetic_v01/chart_012_line.png
trdab_v01_000060,synthetic_v01,economy,table_and_chart,line,trend_summary,medium,"Verilen veriye göre ihracat değeri için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",Verilen veri ihracat değeri için dalgalı bir eğilim göstermektedir. Yıllar arasında hem artış hem de azalış görüldüğü için tek yönlü güçlü bir eğilim yoktur.,,milyon dolar,train,charts/synthetic_v01/chart_012_line.png
trdab_v01_000061,synthetic_v01,education,table_only,bar,value_lookup,easy,2019 yılında öğrenci sayısı kaçtır?,2019 yılında öğrenci sayısı 22.922 öğrenci olarak verilmiştir.,22922.0,öğrenci,train,charts/synthetic_v01/chart_013_bar.png
trdab_v01_000062,synthetic_v01,education,chart_only,bar,max_min,easy,Verilen verideki en düşük öğrenci sayısı kaçtır?,En düşük öğrenci sayısı 22.922 öğrenci olarak verilmiştir. Bu değer 2019 yılında görülmüştür.,22922.0,öğrenci,train,charts/synthetic_v01/chart_013_bar.png
trdab_v01_000063,synthetic_v01,education,table_and_chart,bar,comparison,medium,"2020 yılındaki öğrenci sayısı, 2019 yılına göre kaç öğrenci farklıdır?","2020 yılındaki öğrenci sayısı, 2019 yılına göre 2.378 öğrenci fazladır.",2378.0,öğrenci,train,charts/synthetic_v01/chart_013_bar.png
trdab_v01_000064,synthetic_v01,education,table_only,bar,percentage_change,medium,"2019 ile 2021 arasında öğrenci sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2019 ile 2021 arasında öğrenci sayısı yaklaşık %1,1 artmıştır.",1.1,percent,train,charts/synthetic_v01/chart_013_bar.png
trdab_v01_000065,synthetic_v01,education,chart_only,bar,trend_summary,medium,"Verilen veriye göre öğrenci sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",Verilen veri öğrenci sayısı için dalgalı bir eğilim göstermektedir. Yıllar arasında hem artış hem de azalış görüldüğü için tek yönlü güçlü bir eğilim yoktur.,,öğrenci,train,charts/synthetic_v01/chart_013_bar.png
trdab_v01_000066,synthetic_v01,tourism,table_and_chart,bar,value_lookup,easy,2021 yılında ziyaretçi sayısı kaçtır?,2021 yılında ziyaretçi sayısı 444.571 kişi olarak verilmiştir.,444571.0,kişi,train,charts/synthetic_v01/chart_014_bar.png
trdab_v01_000067,synthetic_v01,tourism,table_only,bar,max_min,easy,Verilen verideki en düşük ziyaretçi sayısı kaçtır?,En düşük ziyaretçi sayısı 444.571 kişi olarak verilmiştir. Bu değer 2021 yılında görülmüştür.,444571.0,kişi,train,charts/synthetic_v01/chart_014_bar.png
trdab_v01_000068,synthetic_v01,tourism,chart_only,bar,comparison,medium,"2023 yılındaki ziyaretçi sayısı, 2019 yılına göre kaç kişi farklıdır?","2023 yılındaki ziyaretçi sayısı, 2019 yılına göre 80.114 kişi fazladır.",80114.0,kişi,train,charts/synthetic_v01/chart_014_bar.png
trdab_v01_000069,synthetic_v01,tourism,table_and_chart,bar,percentage_change,medium,"2019 ile 2020 arasında ziyaretçi sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2019 ile 2020 arasında ziyaretçi sayısı yaklaşık %47,5 artmıştır.",47.5,percent,train,charts/synthetic_v01/chart_014_bar.png
trdab_v01_000070,synthetic_v01,tourism,table_only,bar,trend_summary,medium,"Verilen veriye göre ziyaretçi sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",Verilen veri ziyaretçi sayısı için dalgalı bir eğilim göstermektedir. Yıllar arasında hem artış hem de azalış görüldüğü için tek yönlü güçlü bir eğilim yoktur.,,kişi,train,charts/synthetic_v01/chart_014_bar.png
trdab_v01_000071,synthetic_v01,energy,chart_only,bar,value_lookup,easy,2018 yılında elektrik tüketimi kaçtır?,2018 yılında elektrik tüketimi 90.720 MWh olarak verilmiştir.,90720.0,MWh,train,charts/synthetic_v01/chart_015_bar.png
trdab_v01_000072,synthetic_v01,energy,table_and_chart,bar,max_min,easy,Verilen verideki en yüksek elektrik tüketimi kaçtır?,En yüksek elektrik tüketimi 91.468 MWh olarak verilmiştir. Bu değer 2020 yılında görülmüştür.,91468.0,MWh,train,charts/synthetic_v01/chart_015_bar.png
trdab_v01_000073,synthetic_v01,energy,table_only,bar,comparison,medium,"2018 yılındaki elektrik tüketimi, 2022 yılına göre kaç MWh farklıdır?","2018 yılındaki elektrik tüketimi, 2022 yılına göre 1.475 MWh fazladır.",1475.0,MWh,train,charts/synthetic_v01/chart_015_bar.png
trdab_v01_000074,synthetic_v01,energy,chart_only,bar,percentage_change,medium,"2018 ile 2022 arasında elektrik tüketimi yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2018 ile 2022 arasında elektrik tüketimi yaklaşık %1,6 azalmıştır.",-1.6,percent,train,charts/synthetic_v01/chart_015_bar.png
trdab_v01_000075,synthetic_v01,energy,table_and_chart,bar,trend_summary,medium,"Verilen veriye göre elektrik tüketimi için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",Verilen veri elektrik tüketimi için dalgalı bir eğilim göstermektedir. Yıllar arasında hem artış hem de azalış görüldüğü için tek yönlü güçlü bir eğilim yoktur.,,MWh,train,charts/synthetic_v01/chart_015_bar.png
trdab_v01_000076,synthetic_v01,health,table_only,bar,value_lookup,easy,2020 yılında hastane başvuru sayısı kaçtır?,2020 yılında hastane başvuru sayısı 414.306 başvuru olarak verilmiştir.,414306.0,başvuru,train,charts/synthetic_v01/chart_016_bar.png
trdab_v01_000077,synthetic_v01,health,chart_only,bar,max_min,easy,Verilen verideki en düşük hastane başvuru sayısı kaçtır?,En düşük hastane başvuru sayısı 327.685 başvuru olarak verilmiştir. Bu değer 2024 yılında görülmüştür.,327685.0,başvuru,train,charts/synthetic_v01/chart_016_bar.png
trdab_v01_000078,synthetic_v01,health,table_and_chart,bar,comparison,medium,"2021 yılındaki hastane başvuru sayısı, 2022 yılına göre kaç başvuru farklıdır?","2021 yılındaki hastane başvuru sayısı, 2022 yılına göre 26.587 başvuru fazladır.",26587.0,başvuru,train,charts/synthetic_v01/chart_016_bar.png
trdab_v01_000079,synthetic_v01,health,table_only,bar,percentage_change,medium,"2019 ile 2024 arasında hastane başvuru sayısı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2019 ile 2024 arasında hastane başvuru sayısı yaklaşık %23,2 azalmıştır.",-23.2,percent,train,charts/synthetic_v01/chart_016_bar.png
trdab_v01_000080,synthetic_v01,health,chart_only,bar,trend_summary,medium,"Verilen veriye göre hastane başvuru sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.","Verilen veri genel olarak hastane başvuru sayısı için azalış eğilimi göstermektedir. 2019 yılında 426.680 başvuru olan değer, 2024 yılında 327.685 başvuru seviyesine düşmüştür.",,başvuru,train,charts/synthetic_v01/chart_016_bar.png
trdab_v01_000081,synthetic_v01,environment,table_and_chart,bar,value_lookup,easy,2019 yılında geri dönüştürülen atık miktarı kaçtır?,2019 yılında geri dönüştürülen atık miktarı 8.075 ton olarak verilmiştir.,8075.0,ton,train,charts/synthetic_v01/chart_017_bar.png
trdab_v01_000082,synthetic_v01,environment,table_only,bar,max_min,easy,Verilen verideki en yüksek geri dönüştürülen atık miktarı kaçtır?,En yüksek geri dönüştürülen atık miktarı 10.267 ton olarak verilmiştir. Bu değer 2023 yılında görülmüştür.,10267.0,ton,train,charts/synthetic_v01/chart_017_bar.png
trdab_v01_000083,synthetic_v01,environment,chart_only,bar,comparison,medium,"2023 yılındaki geri dönüştürülen atık miktarı, 2021 yılına göre kaç ton farklıdır?","2023 yılındaki geri dönüştürülen atık miktarı, 2021 yılına göre 1.008 ton fazladır.",1008.0,ton,train,charts/synthetic_v01/chart_017_bar.png
trdab_v01_000084,synthetic_v01,environment,table_and_chart,bar,percentage_change,medium,"2020 ile 2022 arasında geri dönüştürülen atık miktarı yaklaşık yüzde kaç değişmiştir? Artış için pozitif, azalış için negatif değer ver.","2020 ile 2022 arasında geri dönüştürülen atık miktarı yaklaşık %14,4 artmıştır.",14.4,percent,train,charts/synthetic_v01/chart_017_bar.png
