id,domain,question_type,question,answer,numeric_answer,split
trdab_reason_000011,economy,share_of_total,Tüm yılların toplam ihracat değeri değeri içinde 2022 yılının payı yaklaşık yüzde kaçtır?,"2022 yılının payı yaklaşık %15,10.",15.1,train
trdab_reason_000012,economy,ratio,"2019 yılında ihracat değeri, ithalat değeri'nin yaklaşık kaç katıdır?","2019 yılında ihracat değeri, ithalat değeri'nin yaklaşık 1,26 katıdır.",1.26,train
trdab_reason_000013,education,cagr,"öğrenci sayısı için 2017-2023 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %3,50.",-3.5,train
trdab_reason_000014,education,fastest_change_year,öğrenci sayısı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2019 yılında olmuştur.,2019,train
trdab_reason_000015,education,longest_increase_streak,öğrenci sayısı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,train
trdab_reason_000016,education,conditional_average,öğrenci sayısı değerinin 28.614 öğrenci değerinden büyük olduğu yıllardaki ortalama öğrenci sayısı kaçtır?,"Bu yıllardaki ortalama yaklaşık 30.936,80 öğrenci.",30936.8,train
trdab_reason_000017,education,share_of_total,Tüm yılların toplam öğrenci sayısı değeri içinde 2023 yılının payı yaklaşık yüzde kaçtır?,"2023 yılının payı yaklaşık %12,70.",12.7,train
trdab_reason_000018,education,ratio,"2020 yılında öğrenci sayısı, öğretmen sayısı'nin yaklaşık kaç katıdır?","2020 yılında öğrenci sayısı, öğretmen sayısı'nin yaklaşık 15,31 katıdır.",15.31,train
trdab_reason_000019,tourism,cagr,"ziyaretçi sayısı için 2016-2021 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %7,10.",-7.1,train
trdab_reason_000020,tourism,fastest_change_year,ziyaretçi sayısı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2017 yılında olmuştur.,2017,train
trdab_reason_000021,tourism,longest_increase_streak,ziyaretçi sayısı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,train
trdab_reason_000022,tourism,conditional_average,ziyaretçi sayısı değerinin 752.194 kişi değerinden büyük olduğu yıllardaki ortalama ziyaretçi sayısı kaçtır?,Bu yıllardaki ortalama yaklaşık 881.300 kişi.,881300.0,train
trdab_reason_000023,tourism,share_of_total,Tüm yılların toplam ziyaretçi sayısı değeri içinde 2017 yılının payı yaklaşık yüzde kaçtır?,"2017 yılının payı yaklaşık %18,80.",18.8,train
trdab_reason_000024,tourism,ratio,"2017 yılında ziyaretçi sayısı, konaklama sayısı'nin yaklaşık kaç katıdır?","2017 yılında ziyaretçi sayısı, konaklama sayısı'nin yaklaşık 0,65 katıdır.",0.65,train
trdab_reason_000025,energy,cagr,"elektrik tüketimi için 2017-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %2,60.",-2.6,train
trdab_reason_000026,energy,fastest_change_year,elektrik tüketimi bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2019 yılında olmuştur.,2019,train
trdab_reason_000027,energy,longest_increase_streak,elektrik tüketimi bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 1 yıldır.,1,train
trdab_reason_000028,energy,conditional_average,elektrik tüketimi değerinin 88.298 MWh değerinden büyük olduğu yıllardaki ortalama elektrik tüketimi kaçtır?,"Bu yıllardaki ortalama yaklaşık 91.361,70 MWh.",91361.7,train
trdab_reason_000029,energy,share_of_total,Tüm yılların toplam elektrik tüketimi değeri içinde 2017 yılının payı yaklaşık yüzde kaçtır?,"2017 yılının payı yaklaşık %17,40.",17.4,train
trdab_reason_000030,energy,ratio,"2018 yılında elektrik tüketimi, doğal gaz tüketimi'nin yaklaşık kaç katıdır?","2018 yılında elektrik tüketimi, doğal gaz tüketimi'nin yaklaşık 0,27 katıdır.",0.27,train
trdab_reason_000031,health,cagr,"hastane başvurusu için 2017-2023 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %0,20.",0.2,train
trdab_reason_000032,health,fastest_change_year,hastane başvurusu bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2023 yılında olmuştur.,2023,train
trdab_reason_000033,health,longest_increase_streak,hastane başvurusu bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 1 yıldır.,1,train
trdab_reason_000034,health,conditional_average,hastane başvurusu değerinin 295.612 başvuru değerinden büyük olduğu yıllardaki ortalama hastane başvurusu kaçtır?,Bu yıllardaki ortalama yaklaşık 322.954 başvuru.,322954.0,train
trdab_reason_000035,health,share_of_total,Tüm yılların toplam hastane başvurusu değeri içinde 2021 yılının payı yaklaşık yüzde kaçtır?,"2021 yılının payı yaklaşık %14,90.",14.9,train
trdab_reason_000036,health,ratio,"2020 yılında hastane başvurusu, ameliyat sayısı'nin yaklaşık kaç katıdır?","2020 yılında hastane başvurusu, ameliyat sayısı'nin yaklaşık 12,85 katıdır.",12.85,train
trdab_reason_000037,environment,cagr,"geri dönüşüm için 2016-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %6,60.",6.6,train
trdab_reason_000038,environment,fastest_change_year,geri dönüşüm bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2017 yılında olmuştur.,2017,train
trdab_reason_000039,environment,longest_increase_streak,geri dönüşüm bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 6 yıldır.,6,train
trdab_reason_000040,environment,conditional_average,geri dönüşüm değerinin 9.187 ton değerinden büyük olduğu yıllardaki ortalama geri dönüşüm kaçtır?,Bu yıllardaki ortalama yaklaşık 10.511 ton.,10511.0,train
trdab_reason_000041,environment,share_of_total,Tüm yılların toplam geri dönüşüm değeri içinde 2018 yılının payı yaklaşık yüzde kaçtır?,"2018 yılının payı yaklaşık %13,60.",13.6,train
trdab_reason_000042,environment,ratio,"2019 yılında geri dönüşüm, toplam atık'nin yaklaşık kaç katıdır?","2019 yılında geri dönüşüm, toplam atık'nin yaklaşık 0,20 katıdır.",0.2,train
trdab_reason_000043,sports,cagr,"tesis kullanımı için 2016-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %2,40.",-2.4,train
trdab_reason_000044,sports,fastest_change_year,tesis kullanımı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2022 yılında olmuştur.,2022,train
trdab_reason_000045,sports,longest_increase_streak,tesis kullanımı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 1 yıldır.,1,train
trdab_reason_000046,sports,conditional_average,tesis kullanımı değerinin 44.484 kullanım değerinden büyük olduğu yıllardaki ortalama tesis kullanımı kaçtır?,Bu yıllardaki ortalama yaklaşık 47.445 kullanım.,47445.0,train
trdab_reason_000047,sports,share_of_total,Tüm yılların toplam tesis kullanımı değeri içinde 2020 yılının payı yaklaşık yüzde kaçtır?,2020 yılının payı yaklaşık %15.,15.0,train
trdab_reason_000048,sports,ratio,"2022 yılında tesis kullanımı, lisanslı sporcu'nin yaklaşık kaç katıdır?","2022 yılında tesis kullanımı, lisanslı sporcu'nin yaklaşık 2,64 katıdır.",2.64,train
trdab_reason_000049,municipality,cagr,"hizmet başvurusu için 2018-2024 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %5,50.",5.5,train
trdab_reason_000050,municipality,fastest_change_year,hizmet başvurusu bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2021 yılında olmuştur.,2021,train
trdab_reason_000051,municipality,longest_increase_streak,hizmet başvurusu bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 6 yıldır.,6,train
trdab_reason_000052,municipality,conditional_average,hizmet başvurusu değerinin 78.094 başvuru değerinden büyük olduğu yıllardaki ortalama hizmet başvurusu kaçtır?,"Bu yıllardaki ortalama yaklaşık 90.903,50 başvuru.",90903.5,train
trdab_reason_000053,municipality,share_of_total,Tüm yılların toplam hizmet başvurusu değeri içinde 2022 yılının payı yaklaşık yüzde kaçtır?,"2022 yılının payı yaklaşık %15,20.",15.2,train
trdab_reason_000054,municipality,ratio,"2021 yılında hizmet başvurusu, çözülen başvuru'nin yaklaşık kaç katıdır?","2021 yılında hizmet başvurusu, çözülen başvuru'nin yaklaşık 1,52 katıdır.",1.52,train
trdab_reason_000055,agriculture,cagr,"üretim miktarı için 2018-2024 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %4,70.",4.7,train
trdab_reason_000056,agriculture,fastest_change_year,üretim miktarı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2020 yılında olmuştur.,2020,train
trdab_reason_000057,agriculture,longest_increase_streak,üretim miktarı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 6 yıldır.,6,train
trdab_reason_000058,agriculture,conditional_average,üretim miktarı değerinin 165.052 ton değerinden büyük olduğu yıllardaki ortalama üretim miktarı kaçtır?,Bu yıllardaki ortalama yaklaşık 185.193 ton.,185193.0,train
trdab_reason_000059,agriculture,share_of_total,Tüm yılların toplam üretim miktarı değeri içinde 2019 yılının payı yaklaşık yüzde kaçtır?,"2019 yılının payı yaklaşık %12,80.",12.8,train
trdab_reason_000060,agriculture,ratio,"2019 yılında üretim miktarı, ekili alan'nin yaklaşık kaç katıdır?","2019 yılında üretim miktarı, ekili alan'nin yaklaşık 3,32 katıdır.",3.32,train
trdab_reason_000061,transportation,cagr,"yolcu sayısı için 2018-2023 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %4,60.",-4.6,train
trdab_reason_000062,transportation,fastest_change_year,yolcu sayısı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2021 yılında olmuştur.,2021,train
trdab_reason_000063,transportation,longest_increase_streak,yolcu sayısı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 3 yıldır.,3,train
trdab_reason_000064,transportation,conditional_average,yolcu sayısı değerinin 1.164.942 kişi değerinden büyük olduğu yıllardaki ortalama yolcu sayısı kaçtır?,"Bu yıllardaki ortalama yaklaşık 1.223.839,70 kişi.",1223839.7,train
trdab_reason_000065,transportation,share_of_total,Tüm yılların toplam yolcu sayısı değeri içinde 2019 yılının payı yaklaşık yüzde kaçtır?,"2019 yılının payı yaklaşık %16,40.",16.4,train
trdab_reason_000066,transportation,ratio,"2019 yılında yolcu sayısı, sefer sayısı'nin yaklaşık kaç katıdır?","2019 yılında yolcu sayısı, sefer sayısı'nin yaklaşık 28,82 katıdır.",28.82,train
trdab_reason_000067,economy,cagr,"ihracat değeri için 2017-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.",CAGR yaklaşık %7.,-7.0,train
trdab_reason_000068,economy,fastest_change_year,ihracat değeri bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2021 yılında olmuştur.,2021,train
trdab_reason_000069,economy,longest_increase_streak,ihracat değeri bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 1 yıldır.,1,train
trdab_reason_000070,economy,conditional_average,ihracat değeri değerinin 178 milyon dolar değerinden büyük olduğu yıllardaki ortalama ihracat değeri kaçtır?,Bu yıllardaki ortalama yaklaşık 194 milyon dolar.,194.0,train
trdab_reason_000071,economy,share_of_total,Tüm yılların toplam ihracat değeri değeri içinde 2017 yılının payı yaklaşık yüzde kaçtır?,"2017 yılının payı yaklaşık %18,70.",18.7,train
trdab_reason_000072,economy,ratio,"2021 yılında ihracat değeri, ithalat değeri'nin yaklaşık kaç katıdır?","2021 yılında ihracat değeri, ithalat değeri'nin yaklaşık 0,90 katıdır.",0.9,train
trdab_reason_000073,education,cagr,"öğrenci sayısı için 2017-2023 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %3,80.",-3.8,train
trdab_reason_000074,education,fastest_change_year,öğrenci sayısı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2019 yılında olmuştur.,2019,train
trdab_reason_000075,education,longest_increase_streak,öğrenci sayısı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,train
trdab_reason_000076,education,conditional_average,öğrenci sayısı değerinin 28.284 öğrenci değerinden büyük olduğu yıllardaki ortalama öğrenci sayısı kaçtır?,Bu yıllardaki ortalama yaklaşık 31.005 öğrenci.,31005.0,train
trdab_reason_000077,education,share_of_total,Tüm yılların toplam öğrenci sayısı değeri içinde 2021 yılının payı yaklaşık yüzde kaçtır?,"2021 yılının payı yaklaşık %13,80.",13.8,train
trdab_reason_000078,education,ratio,"2023 yılında öğrenci sayısı, öğretmen sayısı'nin yaklaşık kaç katıdır?","2023 yılında öğrenci sayısı, öğretmen sayısı'nin yaklaşık 14,29 katıdır.",14.29,train
trdab_reason_000079,tourism,cagr,"ziyaretçi sayısı için 2016-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %1,70.",1.7,train
trdab_reason_000080,tourism,fastest_change_year,ziyaretçi sayısı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2018 yılında olmuştur.,2018,train
trdab_reason_000081,tourism,longest_increase_streak,ziyaretçi sayısı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 1 yıldır.,1,train
trdab_reason_000082,tourism,conditional_average,ziyaretçi sayısı değerinin 606.649 kişi değerinden büyük olduğu yıllardaki ortalama ziyaretçi sayısı kaçtır?,"Bu yıllardaki ortalama yaklaşık 660.791,50 kişi.",660791.5,train
trdab_reason_000083,tourism,share_of_total,Tüm yılların toplam ziyaretçi sayısı değeri içinde 2017 yılının payı yaklaşık yüzde kaçtır?,"2017 yılının payı yaklaşık %11,60.",11.6,train
trdab_reason_000084,tourism,ratio,"2021 yılında ziyaretçi sayısı, konaklama sayısı'nin yaklaşık kaç katıdır?","2021 yılında ziyaretçi sayısı, konaklama sayısı'nin yaklaşık 0,36 katıdır.",0.36,train
trdab_reason_000085,energy,cagr,"elektrik tüketimi için 2018-2024 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %1,30.",1.3,train
trdab_reason_000086,energy,fastest_change_year,elektrik tüketimi bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2024 yılında olmuştur.,2024,train
trdab_reason_000087,energy,longest_increase_streak,elektrik tüketimi bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 2 yıldır.,2,train
trdab_reason_000088,energy,conditional_average,elektrik tüketimi değerinin 89.854 MWh değerinden büyük olduğu yıllardaki ortalama elektrik tüketimi kaçtır?,"Bu yıllardaki ortalama yaklaşık 93.567,50 MWh.",93567.5,train
trdab_reason_000089,energy,share_of_total,Tüm yılların toplam elektrik tüketimi değeri içinde 2020 yılının payı yaklaşık yüzde kaçtır?,"2020 yılının payı yaklaşık %14,80.",14.8,train
trdab_reason_000090,energy,ratio,"2019 yılında elektrik tüketimi, doğal gaz tüketimi'nin yaklaşık kaç katıdır?","2019 yılında elektrik tüketimi, doğal gaz tüketimi'nin yaklaşık 0,29 katıdır.",0.29,train
trdab_reason_000091,health,cagr,"hastane başvurusu için 2018-2024 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %4,60.",-4.6,train
trdab_reason_000092,health,fastest_change_year,hastane başvurusu bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2022 yılında olmuştur.,2022,train
trdab_reason_000093,health,longest_increase_streak,hastane başvurusu bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,train
trdab_reason_000094,health,conditional_average,hastane başvurusu değerinin 364.764 başvuru değerinden büyük olduğu yıllardaki ortalama hastane başvurusu kaçtır?,"Bu yıllardaki ortalama yaklaşık 405.540,80 başvuru.",405540.8,train
trdab_reason_000095,health,share_of_total,Tüm yılların toplam hastane başvurusu değeri içinde 2018 yılının payı yaklaşık yüzde kaçtır?,"2018 yılının payı yaklaşık %16,30.",16.3,train
trdab_reason_000096,health,ratio,"2024 yılında hastane başvurusu, ameliyat sayısı'nin yaklaşık kaç katıdır?","2024 yılında hastane başvurusu, ameliyat sayısı'nin yaklaşık 11,89 katıdır.",11.89,train
trdab_reason_000097,environment,cagr,"geri dönüşüm için 2018-2023 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %5,80.",-5.8,train
trdab_reason_000098,environment,fastest_change_year,geri dönüşüm bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2019 yılında olmuştur.,2019,train
trdab_reason_000099,environment,longest_increase_streak,geri dönüşüm bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,train
trdab_reason_000100,environment,conditional_average,geri dönüşüm değerinin 9.629 ton değerinden büyük olduğu yıllardaki ortalama geri dönüşüm kaçtır?,Bu yıllardaki ortalama yaklaşık 10.885 ton.,10885.0,train
trdab_reason_000101,environment,share_of_total,Tüm yılların toplam geri dönüşüm değeri içinde 2018 yılının payı yaklaşık yüzde kaçtır?,"2018 yılının payı yaklaşık %19,20.",19.2,train
trdab_reason_000102,environment,ratio,"2018 yılında geri dönüşüm, toplam atık'nin yaklaşık kaç katıdır?","2018 yılında geri dönüşüm, toplam atık'nin yaklaşık 0,27 katıdır.",0.27,train
trdab_reason_000103,sports,cagr,"tesis kullanımı için 2016-2021 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %5,40.",-5.4,train
trdab_reason_000104,sports,fastest_change_year,tesis kullanımı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2018 yılında olmuştur.,2018,train
trdab_reason_000105,sports,longest_increase_streak,tesis kullanımı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,train
trdab_reason_000106,sports,conditional_average,tesis kullanımı değerinin 54.729 kullanım değerinden büyük olduğu yıllardaki ortalama tesis kullanımı kaçtır?,Bu yıllardaki ortalama yaklaşık 59.836 kullanım.,59836.0,train
trdab_reason_000107,sports,share_of_total,Tüm yılların toplam tesis kullanımı değeri içinde 2018 yılının payı yaklaşık yüzde kaçtır?,"2018 yılının payı yaklaşık %17,40.",17.4,train
trdab_reason_000108,sports,ratio,"2019 yılında tesis kullanımı, lisanslı sporcu'nin yaklaşık kaç katıdır?","2019 yılında tesis kullanımı, lisanslı sporcu'nin yaklaşık 3,84 katıdır.",3.84,train
trdab_reason_000109,municipality,cagr,"hizmet başvurusu için 2016-2021 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %4,70.",-4.7,train
trdab_reason_000110,municipality,fastest_change_year,hizmet başvurusu bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2020 yılında olmuştur.,2020,train
trdab_reason_000111,municipality,longest_increase_streak,hizmet başvurusu bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,train
trdab_reason_000112,municipality,conditional_average,hizmet başvurusu değerinin 82.544 başvuru değerinden büyük olduğu yıllardaki ortalama hizmet başvurusu kaçtır?,Bu yıllardaki ortalama yaklaşık 91.732 başvuru.,91732.0,train
trdab_reason_000113,municipality,share_of_total,Tüm yılların toplam hizmet başvurusu değeri içinde 2017 yılının payı yaklaşık yüzde kaçtır?,2017 yılının payı yaklaşık %18.,18.0,train
trdab_reason_000114,municipality,ratio,"2016 yılında hizmet başvurusu, çözülen başvuru'nin yaklaşık kaç katıdır?","2016 yılında hizmet başvurusu, çözülen başvuru'nin yaklaşık 1,10 katıdır.",1.1,train
trdab_reason_000115,agriculture,cagr,"üretim miktarı için 2017-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %5,20.",5.2,train
trdab_reason_000116,agriculture,fastest_change_year,üretim miktarı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2022 yılında olmuştur.,2022,train
trdab_reason_000117,agriculture,longest_increase_streak,üretim miktarı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 5 yıldır.,5,train
trdab_reason_000118,agriculture,conditional_average,üretim miktarı değerinin 165.177 ton değerinden büyük olduğu yıllardaki ortalama üretim miktarı kaçtır?,Bu yıllardaki ortalama yaklaşık 180.964 ton.,180964.0,train
trdab_reason_000119,agriculture,share_of_total,Tüm yılların toplam üretim miktarı değeri içinde 2020 yılının payı yaklaşık yüzde kaçtır?,"2020 yılının payı yaklaşık %17,10.",17.1,train
trdab_reason_000120,agriculture,ratio,"2017 yılında üretim miktarı, ekili alan'nin yaklaşık kaç katıdır?","2017 yılında üretim miktarı, ekili alan'nin yaklaşık 3,13 katıdır.",3.13,train
trdab_reason_000121,transportation,cagr,"yolcu sayısı için 2018-2023 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %6,50.",-6.5,train
trdab_reason_000122,transportation,fastest_change_year,yolcu sayısı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2022 yılında olmuştur.,2022,train
trdab_reason_000123,transportation,longest_increase_streak,yolcu sayısı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,train
trdab_reason_000124,transportation,conditional_average,yolcu sayısı değerinin 1.469.947 kişi değerinden büyük olduğu yıllardaki ortalama yolcu sayısı kaçtır?,"Bu yıllardaki ortalama yaklaşık 1.685.009,30 kişi.",1685009.3,train
trdab_reason_000125,transportation,share_of_total,Tüm yılların toplam yolcu sayısı değeri içinde 2021 yılının payı yaklaşık yüzde kaçtır?,2021 yılının payı yaklaşık %16.,16.0,train
