id,domain,question_type,difficulty,question,answer,numeric_answer,split,chart_path
trdab_cr_000011,economy,value_estimate,hard,Grafiğe göre 2018 yılında ihracat değeri yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2018 yılında ihracat değeri yaklaşık 180 milyon dolar.,180.0,train,charts/chart_read_v01/chart_002_bar.png
trdab_cr_000012,economy,trend_summary,medium,"Grafiğe göre ihracat değeri için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",ihracat değeri genel olarak artış eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_002_bar.png
trdab_cr_000013,education,max_min_year,medium,Grafiğe göre en yüksek öğrenci sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek öğrenci sayısı 2021 yılında görülmüştür.,2021.0,train,charts/chart_read_v01/chart_003_line.png
trdab_cr_000014,education,max_min_year,medium,Grafiğe göre en düşük öğrenci sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük öğrenci sayısı 2020 yılında görülmüştür.,2020.0,train,charts/chart_read_v01/chart_003_line.png
trdab_cr_000015,education,compare_years,medium,Grafiğe göre 2021 ve 2017 yıllarından hangisinde öğrenci sayısı daha yüksektir? Cevap olarak sadece yılı yaz.,öğrenci sayısı 2021 yılında daha yüksektir.,2021.0,train,charts/chart_read_v01/chart_003_line.png
trdab_cr_000016,education,count_above,hard,Grafiğe göre kaç yılda öğrenci sayısı 24.500 öğrenci değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6 yılda öğrenci sayısı 24.500 öğrenci değerinin üzerindedir.,6.0,train,charts/chart_read_v01/chart_003_line.png
trdab_cr_000017,education,value_estimate,hard,Grafiğe göre 2019 yılında öğrenci sayısı yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2019 yılında öğrenci sayısı yaklaşık 25.000 öğrenci.,25000.0,train,charts/chart_read_v01/chart_003_line.png
trdab_cr_000018,education,trend_summary,medium,"Grafiğe göre öğrenci sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",öğrenci sayısı genel olarak dalgalı eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_003_line.png
trdab_cr_000019,tourism,max_min_year,medium,Grafiğe göre en yüksek ziyaretçi sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek ziyaretçi sayısı 2021 yılında görülmüştür.,2021.0,train,charts/chart_read_v01/chart_004_bar.png
trdab_cr_000020,tourism,max_min_year,medium,Grafiğe göre en düşük ziyaretçi sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük ziyaretçi sayısı 2020 yılında görülmüştür.,2020.0,train,charts/chart_read_v01/chart_004_bar.png
trdab_cr_000021,tourism,compare_years,medium,Grafiğe göre 2019 ve 2021 yıllarından hangisinde ziyaretçi sayısı daha yüksektir? Cevap olarak sadece yılı yaz.,ziyaretçi sayısı 2021 yılında daha yüksektir.,2021.0,train,charts/chart_read_v01/chart_004_bar.png
trdab_cr_000022,tourism,count_above,hard,Grafiğe göre kaç yılda ziyaretçi sayısı 620.000 kişi değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,3 yılda ziyaretçi sayısı 620.000 kişi değerinin üzerindedir.,3.0,train,charts/chart_read_v01/chart_004_bar.png
trdab_cr_000023,tourism,value_estimate,hard,Grafiğe göre 2022 yılında ziyaretçi sayısı yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2022 yılında ziyaretçi sayısı yaklaşık 570.000 kişi.,570000.0,train,charts/chart_read_v01/chart_004_bar.png
trdab_cr_000024,tourism,trend_summary,medium,"Grafiğe göre ziyaretçi sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",ziyaretçi sayısı genel olarak azalış eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_004_bar.png
trdab_cr_000025,energy,max_min_year,medium,Grafiğe göre en yüksek elektrik tüketimi hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek elektrik tüketimi 2017 yılında görülmüştür.,2017.0,train,charts/chart_read_v01/chart_005_line.png
trdab_cr_000026,energy,max_min_year,medium,Grafiğe göre en düşük elektrik tüketimi hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük elektrik tüketimi 2023 yılında görülmüştür.,2023.0,train,charts/chart_read_v01/chart_005_line.png
trdab_cr_000027,energy,compare_years,medium,Grafiğe göre 2021 ve 2018 yıllarından hangisinde elektrik tüketimi daha yüksektir? Cevap olarak sadece yılı yaz.,elektrik tüketimi 2018 yılında daha yüksektir.,2018.0,train,charts/chart_read_v01/chart_005_line.png
trdab_cr_000028,energy,count_above,hard,Grafiğe göre kaç yılda elektrik tüketimi 99.000 MWh değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,5 yılda elektrik tüketimi 99.000 MWh değerinin üzerindedir.,5.0,train,charts/chart_read_v01/chart_005_line.png
trdab_cr_000029,energy,value_estimate,hard,Grafiğe göre 2022 yılında elektrik tüketimi yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2022 yılında elektrik tüketimi yaklaşık 98.000 MWh.,98000.0,train,charts/chart_read_v01/chart_005_line.png
trdab_cr_000030,energy,trend_summary,medium,"Grafiğe göre elektrik tüketimi için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",elektrik tüketimi genel olarak azalış eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_005_line.png
trdab_cr_000031,health,max_min_year,medium,Grafiğe göre en yüksek hastane başvuru sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek hastane başvuru sayısı 2024 yılında görülmüştür.,2024.0,train,charts/chart_read_v01/chart_006_bar.png
trdab_cr_000032,health,max_min_year,medium,Grafiğe göre en düşük hastane başvuru sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük hastane başvuru sayısı 2018 yılında görülmüştür.,2018.0,train,charts/chart_read_v01/chart_006_bar.png
trdab_cr_000033,health,compare_years,medium,Grafiğe göre 2018 ve 2023 yıllarından hangisinde hastane başvuru sayısı daha yüksektir? Cevap olarak sadece yılı yaz.,hastane başvuru sayısı 2023 yılında daha yüksektir.,2023.0,train,charts/chart_read_v01/chart_006_bar.png
trdab_cr_000034,health,count_above,hard,Grafiğe göre kaç yılda hastane başvuru sayısı 365.000 başvuru değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,4 yılda hastane başvuru sayısı 365.000 başvuru değerinin üzerindedir.,4.0,train,charts/chart_read_v01/chart_006_bar.png
trdab_cr_000035,health,value_estimate,hard,Grafiğe göre 2024 yılında hastane başvuru sayısı yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2024 yılında hastane başvuru sayısı yaklaşık 430.000 başvuru.,430000.0,train,charts/chart_read_v01/chart_006_bar.png
trdab_cr_000036,health,trend_summary,medium,"Grafiğe göre hastane başvuru sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",hastane başvuru sayısı genel olarak artış eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_006_bar.png
trdab_cr_000037,environment,max_min_year,medium,Grafiğe göre en yüksek geri dönüştürülen atık hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek geri dönüştürülen atık 2022 yılında görülmüştür.,2022.0,train,charts/chart_read_v01/chart_007_line.png
trdab_cr_000038,environment,max_min_year,medium,Grafiğe göre en düşük geri dönüştürülen atık hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük geri dönüştürülen atık 2017 yılında görülmüştür.,2017.0,train,charts/chart_read_v01/chart_007_line.png
trdab_cr_000039,environment,compare_years,medium,Grafiğe göre 2017 ve 2021 yıllarından hangisinde geri dönüştürülen atık daha yüksektir? Cevap olarak sadece yılı yaz.,geri dönüştürülen atık 2021 yılında daha yüksektir.,2021.0,train,charts/chart_read_v01/chart_007_line.png
trdab_cr_000040,environment,count_above,hard,Grafiğe göre kaç yılda geri dönüştürülen atık 9.500 ton değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,3 yılda geri dönüştürülen atık 9.500 ton değerinin üzerindedir.,3.0,train,charts/chart_read_v01/chart_007_line.png
trdab_cr_000041,environment,value_estimate,hard,Grafiğe göre 2019 yılında geri dönüştürülen atık yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2019 yılında geri dönüştürülen atık yaklaşık 9.200 ton.,9200.0,train,charts/chart_read_v01/chart_007_line.png
trdab_cr_000042,environment,trend_summary,medium,"Grafiğe göre geri dönüştürülen atık için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",geri dönüştürülen atık genel olarak artış eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_007_line.png
trdab_cr_000043,sports,max_min_year,medium,Grafiğe göre en yüksek spor tesisi kullanımı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek spor tesisi kullanımı 2019 yılında görülmüştür.,2019.0,train,charts/chart_read_v01/chart_008_bar.png
trdab_cr_000044,sports,max_min_year,medium,Grafiğe göre en düşük spor tesisi kullanımı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük spor tesisi kullanımı 2025 yılında görülmüştür.,2025.0,train,charts/chart_read_v01/chart_008_bar.png
trdab_cr_000045,sports,compare_years,medium,Grafiğe göre 2019 ve 2023 yıllarından hangisinde spor tesisi kullanımı daha yüksektir? Cevap olarak sadece yılı yaz.,spor tesisi kullanımı 2019 yılında daha yüksektir.,2019.0,train,charts/chart_read_v01/chart_008_bar.png
trdab_cr_000046,sports,count_above,hard,Grafiğe göre kaç yılda spor tesisi kullanımı 56.000 kullanım değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,4 yılda spor tesisi kullanımı 56.000 kullanım değerinin üzerindedir.,4.0,train,charts/chart_read_v01/chart_008_bar.png
trdab_cr_000047,sports,value_estimate,hard,Grafiğe göre 2023 yılında spor tesisi kullanımı yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2023 yılında spor tesisi kullanımı yaklaşık 54.000 kullanım.,54000.0,train,charts/chart_read_v01/chart_008_bar.png
trdab_cr_000048,sports,trend_summary,medium,"Grafiğe göre spor tesisi kullanımı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",spor tesisi kullanımı genel olarak azalış eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_008_bar.png
trdab_cr_000049,municipality,max_min_year,medium,Grafiğe göre en yüksek belediye hizmet başvurusu hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek belediye hizmet başvurusu 2022 yılında görülmüştür.,2022.0,train,charts/chart_read_v01/chart_009_line.png
trdab_cr_000050,municipality,max_min_year,medium,Grafiğe göre en düşük belediye hizmet başvurusu hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük belediye hizmet başvurusu 2017 yılında görülmüştür.,2017.0,train,charts/chart_read_v01/chart_009_line.png
trdab_cr_000051,municipality,compare_years,medium,Grafiğe göre 2021 ve 2017 yıllarından hangisinde belediye hizmet başvurusu daha yüksektir? Cevap olarak sadece yılı yaz.,belediye hizmet başvurusu 2021 yılında daha yüksektir.,2021.0,train,charts/chart_read_v01/chart_009_line.png
trdab_cr_000052,municipality,count_above,hard,Grafiğe göre kaç yılda belediye hizmet başvurusu 82.000 başvuru değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,3 yılda belediye hizmet başvurusu 82.000 başvuru değerinin üzerindedir.,3.0,train,charts/chart_read_v01/chart_009_line.png
trdab_cr_000053,municipality,value_estimate,hard,Grafiğe göre 2017 yılında belediye hizmet başvurusu yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2017 yılında belediye hizmet başvurusu yaklaşık 69.000 başvuru.,69000.0,train,charts/chart_read_v01/chart_009_line.png
trdab_cr_000054,municipality,trend_summary,medium,"Grafiğe göre belediye hizmet başvurusu için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",belediye hizmet başvurusu genel olarak artış eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_009_line.png
trdab_cr_000055,agriculture,max_min_year,medium,Grafiğe göre en yüksek üretim miktarı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek üretim miktarı 2017 yılında görülmüştür.,2017.0,train,charts/chart_read_v01/chart_010_bar.png
trdab_cr_000056,agriculture,max_min_year,medium,Grafiğe göre en düşük üretim miktarı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük üretim miktarı 2018 yılında görülmüştür.,2018.0,train,charts/chart_read_v01/chart_010_bar.png
trdab_cr_000057,agriculture,compare_years,medium,Grafiğe göre 2023 ve 2022 yıllarından hangisinde üretim miktarı daha yüksektir? Cevap olarak sadece yılı yaz.,üretim miktarı 2023 yılında daha yüksektir.,2023.0,train,charts/chart_read_v01/chart_010_bar.png
trdab_cr_000058,agriculture,count_above,hard,Grafiğe göre kaç yılda üretim miktarı 145.000 ton değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,5 yılda üretim miktarı 145.000 ton değerinin üzerindedir.,5.0,train,charts/chart_read_v01/chart_010_bar.png
trdab_cr_000059,agriculture,value_estimate,hard,Grafiğe göre 2022 yılında üretim miktarı yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2022 yılında üretim miktarı yaklaşık 140.000 ton.,140000.0,train,charts/chart_read_v01/chart_010_bar.png
trdab_cr_000060,agriculture,trend_summary,medium,"Grafiğe göre üretim miktarı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",üretim miktarı genel olarak dalgalı eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_010_bar.png
trdab_cr_000061,transportation,max_min_year,medium,Grafiğe göre en yüksek yolcu sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek yolcu sayısı 2017 yılında görülmüştür.,2017.0,train,charts/chart_read_v01/chart_011_line.png
trdab_cr_000062,transportation,max_min_year,medium,Grafiğe göre en düşük yolcu sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük yolcu sayısı 2022 yılında görülmüştür.,2022.0,train,charts/chart_read_v01/chart_011_line.png
trdab_cr_000063,transportation,compare_years,medium,Grafiğe göre 2022 ve 2018 yıllarından hangisinde yolcu sayısı daha yüksektir? Cevap olarak sadece yılı yaz.,yolcu sayısı 2018 yılında daha yüksektir.,2018.0,train,charts/chart_read_v01/chart_011_line.png
trdab_cr_000064,transportation,count_above,hard,Grafiğe göre kaç yılda yolcu sayısı 1.050.000 kişi değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,5 yılda yolcu sayısı 1.050.000 kişi değerinin üzerindedir.,5.0,train,charts/chart_read_v01/chart_011_line.png
trdab_cr_000065,transportation,value_estimate,hard,Grafiğe göre 2019 yılında yolcu sayısı yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2019 yılında yolcu sayısı yaklaşık 1.200.000 kişi.,1200000.0,train,charts/chart_read_v01/chart_011_line.png
trdab_cr_000066,transportation,trend_summary,medium,"Grafiğe göre yolcu sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",yolcu sayısı genel olarak dalgalı eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_011_line.png
trdab_cr_000067,economy,max_min_year,medium,Grafiğe göre en yüksek ihracat değeri hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek ihracat değeri 2024 yılında görülmüştür.,2024.0,train,charts/chart_read_v01/chart_012_bar.png
trdab_cr_000068,economy,max_min_year,medium,Grafiğe göre en düşük ihracat değeri hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük ihracat değeri 2019 yılında görülmüştür.,2019.0,train,charts/chart_read_v01/chart_012_bar.png
trdab_cr_000069,economy,compare_years,medium,Grafiğe göre 2021 ve 2020 yıllarından hangisinde ihracat değeri daha yüksektir? Cevap olarak sadece yılı yaz.,ihracat değeri 2021 yılında daha yüksektir.,2021.0,train,charts/chart_read_v01/chart_012_bar.png
trdab_cr_000070,economy,count_above,hard,Grafiğe göre kaç yılda ihracat değeri 225 milyon dolar değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,3 yılda ihracat değeri 225 milyon dolar değerinin üzerindedir.,3.0,train,charts/chart_read_v01/chart_012_bar.png
trdab_cr_000071,economy,value_estimate,hard,Grafiğe göre 2024 yılında ihracat değeri yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2024 yılında ihracat değeri yaklaşık 270 milyon dolar.,270.0,train,charts/chart_read_v01/chart_012_bar.png
trdab_cr_000072,economy,trend_summary,medium,"Grafiğe göre ihracat değeri için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",ihracat değeri genel olarak artış eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_012_bar.png
trdab_cr_000073,education,max_min_year,medium,Grafiğe göre en yüksek öğrenci sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek öğrenci sayısı 2023 yılında görülmüştür.,2023.0,train,charts/chart_read_v01/chart_013_line.png
trdab_cr_000074,education,max_min_year,medium,Grafiğe göre en düşük öğrenci sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük öğrenci sayısı 2022 yılında görülmüştür.,2022.0,train,charts/chart_read_v01/chart_013_line.png
trdab_cr_000075,education,compare_years,medium,Grafiğe göre 2023 ve 2022 yıllarından hangisinde öğrenci sayısı daha yüksektir? Cevap olarak sadece yılı yaz.,öğrenci sayısı 2023 yılında daha yüksektir.,2023.0,train,charts/chart_read_v01/chart_013_line.png
trdab_cr_000076,education,count_above,hard,Grafiğe göre kaç yılda öğrenci sayısı 25.500 öğrenci değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,2 yılda öğrenci sayısı 25.500 öğrenci değerinin üzerindedir.,2.0,train,charts/chart_read_v01/chart_013_line.png
trdab_cr_000077,education,value_estimate,hard,Grafiğe göre 2019 yılında öğrenci sayısı yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2019 yılında öğrenci sayısı yaklaşık 25.000 öğrenci.,25000.0,train,charts/chart_read_v01/chart_013_line.png
trdab_cr_000078,education,trend_summary,medium,"Grafiğe göre öğrenci sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",öğrenci sayısı genel olarak dalgalı eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_013_line.png
trdab_cr_000079,tourism,max_min_year,medium,Grafiğe göre en yüksek ziyaretçi sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek ziyaretçi sayısı 2019 yılında görülmüştür.,2019.0,train,charts/chart_read_v01/chart_014_bar.png
trdab_cr_000080,tourism,max_min_year,medium,Grafiğe göre en düşük ziyaretçi sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük ziyaretçi sayısı 2025 yılında görülmüştür.,2025.0,train,charts/chart_read_v01/chart_014_bar.png
trdab_cr_000081,tourism,compare_years,medium,Grafiğe göre 2020 ve 2024 yıllarından hangisinde ziyaretçi sayısı daha yüksektir? Cevap olarak sadece yılı yaz.,ziyaretçi sayısı 2020 yılında daha yüksektir.,2020.0,train,charts/chart_read_v01/chart_014_bar.png
trdab_cr_000082,tourism,count_above,hard,Grafiğe göre kaç yılda ziyaretçi sayısı 840.000 kişi değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,4 yılda ziyaretçi sayısı 840.000 kişi değerinin üzerindedir.,4.0,train,charts/chart_read_v01/chart_014_bar.png
trdab_cr_000083,tourism,value_estimate,hard,Grafiğe göre 2023 yılında ziyaretçi sayısı yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2023 yılında ziyaretçi sayısı yaklaşık 800.000 kişi.,800000.0,train,charts/chart_read_v01/chart_014_bar.png
trdab_cr_000084,tourism,trend_summary,medium,"Grafiğe göre ziyaretçi sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",ziyaretçi sayısı genel olarak azalış eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_014_bar.png
trdab_cr_000085,energy,max_min_year,medium,Grafiğe göre en yüksek elektrik tüketimi hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek elektrik tüketimi 2019 yılında görülmüştür.,2019.0,train,charts/chart_read_v01/chart_015_line.png
trdab_cr_000086,energy,max_min_year,medium,Grafiğe göre en düşük elektrik tüketimi hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük elektrik tüketimi 2022 yılında görülmüştür.,2022.0,train,charts/chart_read_v01/chart_015_line.png
trdab_cr_000087,energy,compare_years,medium,Grafiğe göre 2021 ve 2022 yıllarından hangisinde elektrik tüketimi daha yüksektir? Cevap olarak sadece yılı yaz.,elektrik tüketimi 2021 yılında daha yüksektir.,2021.0,train,charts/chart_read_v01/chart_015_line.png
trdab_cr_000088,energy,count_above,hard,Grafiğe göre kaç yılda elektrik tüketimi 88.000 MWh değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,4 yılda elektrik tüketimi 88.000 MWh değerinin üzerindedir.,4.0,train,charts/chart_read_v01/chart_015_line.png
trdab_cr_000089,energy,value_estimate,hard,Grafiğe göre 2022 yılında elektrik tüketimi yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2022 yılında elektrik tüketimi yaklaşık 84.000 MWh.,84000.0,train,charts/chart_read_v01/chart_015_line.png
trdab_cr_000090,energy,trend_summary,medium,"Grafiğe göre elektrik tüketimi için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",elektrik tüketimi genel olarak dalgalı eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_015_line.png
trdab_cr_000091,health,max_min_year,medium,Grafiğe göre en yüksek hastane başvuru sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek hastane başvuru sayısı 2025 yılında görülmüştür.,2025.0,train,charts/chart_read_v01/chart_016_bar.png
trdab_cr_000092,health,max_min_year,medium,Grafiğe göre en düşük hastane başvuru sayısı hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük hastane başvuru sayısı 2019 yılında görülmüştür.,2019.0,train,charts/chart_read_v01/chart_016_bar.png
trdab_cr_000093,health,compare_years,medium,Grafiğe göre 2021 ve 2019 yıllarından hangisinde hastane başvuru sayısı daha yüksektir? Cevap olarak sadece yılı yaz.,hastane başvuru sayısı 2021 yılında daha yüksektir.,2021.0,train,charts/chart_read_v01/chart_016_bar.png
trdab_cr_000094,health,count_above,hard,Grafiğe göre kaç yılda hastane başvuru sayısı 360.000 başvuru değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,4 yılda hastane başvuru sayısı 360.000 başvuru değerinin üzerindedir.,4.0,train,charts/chart_read_v01/chart_016_bar.png
trdab_cr_000095,health,value_estimate,hard,Grafiğe göre 2019 yılında hastane başvuru sayısı yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2019 yılında hastane başvuru sayısı yaklaşık 310.000 başvuru.,310000.0,train,charts/chart_read_v01/chart_016_bar.png
trdab_cr_000096,health,trend_summary,medium,"Grafiğe göre hastane başvuru sayısı için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",hastane başvuru sayısı genel olarak artış eğilimi göstermektedir.,,train,charts/chart_read_v01/chart_016_bar.png
trdab_cr_000097,environment,max_min_year,medium,Grafiğe göre en yüksek geri dönüştürülen atık hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En yüksek geri dönüştürülen atık 2019 yılında görülmüştür.,2019.0,train,charts/chart_read_v01/chart_017_line.png
trdab_cr_000098,environment,max_min_year,medium,Grafiğe göre en düşük geri dönüştürülen atık hangi yılda görülmüştür? Cevap olarak sadece yılı yaz.,En düşük geri dönüştürülen atık 2024 yılında görülmüştür.,2024.0,train,charts/chart_read_v01/chart_017_line.png
trdab_cr_000099,environment,compare_years,medium,Grafiğe göre 2021 ve 2024 yıllarından hangisinde geri dönüştürülen atık daha yüksektir? Cevap olarak sadece yılı yaz.,geri dönüştürülen atık 2021 yılında daha yüksektir.,2021.0,train,charts/chart_read_v01/chart_017_line.png
trdab_cr_000100,environment,count_above,hard,Grafiğe göre kaç yılda geri dönüştürülen atık 9.600 ton değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,4 yılda geri dönüştürülen atık 9.600 ton değerinin üzerindedir.,4.0,train,charts/chart_read_v01/chart_017_line.png
trdab_cr_000101,environment,value_estimate,hard,Grafiğe göre 2021 yılında geri dönüştürülen atık yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,2021 yılında geri dönüştürülen atık yaklaşık 11.000 ton.,11000.0,train,charts/chart_read_v01/chart_017_line.png
